Incident Reported Year,Neighbourhood Description (Occurrence),Incident Reported Quarter,Incident Reported Month,Assault,Break and Enter,Homicide,Robbery,Sexual Assaults,Theft From Vehicle,Theft Of Vehicle,Theft Over $5000
2011,ABBOTTSFIELD,Q1,1,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2011,ABBOTTSFIELD,Q1,2,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2011,ABBOTTSFIELD,Q1,3,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
2011,ABBOTTSFIELD,Q2,4,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
2011,ABBOTTSFIELD,Q2,5,4.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0
2011,ABBOTTSFIELD,Q2,6,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0
2011,ABBOTTSFIELD,Q3,7,4.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0
2011,ABBOTTSFIELD,Q3,8,6.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0
2011,ABBOTTSFIELD,Q3,9,6.0,3.0,0.0,0.0,1.0,3.0,2.0,0.0
2011,ABBOTTSFIELD,Q4,10,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
2011,ABBOTTSFIELD,Q4,11,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
2011,ABBOTTSFIELD,Q4,12,2.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0
2011,ALBANY,Q1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011,ALBANY,Q2,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ALBERTA AVENUE,Q1,1,7.0,6.0,0.0,3.0,2.0,2.0,11.0,0.0
2011,ALBERTA AVENUE,Q1,2,8.0,5.0,0.0,1.0,0.0,3.0,6.0,0.0
2011,ALBERTA AVENUE,Q1,3,5.0,9.0,0.0,0.0,5.0,13.0,3.0,0.0
2011,ALBERTA AVENUE,Q2,4,8.0,8.0,0.0,1.0,1.0,10.0,9.0,0.0
2011,ALBERTA AVENUE,Q2,5,8.0,11.0,1.0,2.0,1.0,12.0,5.0,1.0
2011,ALBERTA AVENUE,Q2,6,11.0,13.0,0.0,2.0,2.0,5.0,4.0,0.0
2011,ALBERTA AVENUE,Q3,7,4.0,13.0,0.0,2.0,4.0,10.0,2.0,0.0
2011,ALBERTA AVENUE,Q3,8,13.0,7.0,0.0,7.0,1.0,8.0,5.0,0.0
