# Incidents,Incident Reported Month,Incident Reported Quarter,Incident Reported Year,Neighbourhood Description (Occurrence),UCR Violation Type Group (Incident)
2,1,Q1,2011,ABBOTTSFIELD,Assault
3,2,Q1,2011,ABBOTTSFIELD,Assault
1,3,Q1,2011,ABBOTTSFIELD,Assault
2,4,Q2,2011,ABBOTTSFIELD,Assault
4,5,Q2,2011,ABBOTTSFIELD,Assault
1,6,Q2,2011,ABBOTTSFIELD,Assault
4,7,Q3,2011,ABBOTTSFIELD,Assault
6,8,Q3,2011,ABBOTTSFIELD,Assault
6,9,Q3,2011,ABBOTTSFIELD,Assault
1,10,Q4,2011,ABBOTTSFIELD,Assault
2,11,Q4,2011,ABBOTTSFIELD,Assault
2,12,Q4,2011,ABBOTTSFIELD,Assault
1,5,Q2,2011,ABBOTTSFIELD,Break and Enter
1,7,Q3,2011,ABBOTTSFIELD,Break and Enter
1,8,Q3,2011,ABBOTTSFIELD,Break and Enter
3,9,Q3,2011,ABBOTTSFIELD,Break and Enter
1,12,Q4,2011,ABBOTTSFIELD,Break and Enter
1,2,Q1,2011,ABBOTTSFIELD,Robbery
2,3,Q1,2011,ABBOTTSFIELD,Robbery
1,5,Q2,2011,ABBOTTSFIELD,Robbery
2,6,Q2,2011,ABBOTTSFIELD,Robbery
1,10,Q4,2011,ABBOTTSFIELD,Robbery
1,12,Q4,2011,ABBOTTSFIELD,Robbery
2,4,Q2,2011,ABBOTTSFIELD,Sexual Assaults
1,8,Q3,2011,ABBOTTSFIELD,Sexual Assaults
1,9,Q3,2011,ABBOTTSFIELD,Sexual Assaults
2,12,Q4,2011,ABBOTTSFIELD,Sexual Assaults
2,1,Q1,2011,ABBOTTSFIELD,Theft From Vehicle
1,3,Q1,2011,ABBOTTSFIELD,Theft From Vehicle
2,4,Q2,2011,ABBOTTSFIELD,Theft From Vehicle
4,5,Q2,2011,ABBOTTSFIELD,Theft From Vehicle
1,6,Q2,2011,ABBOTTSFIELD,Theft From Vehicle
3,7,Q3,2011,ABBOTTSFIELD,Theft From Vehicle
3,8,Q3,2011,ABBOTTSFIELD,Theft From Vehicle
3,9,Q3,2011,ABBOTTSFIELD,Theft From Vehicle
1,10,Q4,2011,ABBOTTSFIELD,Theft From Vehicle
3,11,Q4,2011,ABBOTTSFIELD,Theft From Vehicle
1,12,Q4,2011,ABBOTTSFIELD,Theft From Vehicle
3,5,Q2,2011,ABBOTTSFIELD,Theft Of Vehicle
2,6,Q2,2011,ABBOTTSFIELD,Theft Of Vehicle
4,7,Q3,2011,ABBOTTSFIELD,Theft Of Vehicle
2,9,Q3,2011,ABBOTTSFIELD,Theft Of Vehicle
2,10,Q4,2011,ABBOTTSFIELD,Theft Of Vehicle
1,11,Q4,2011,ABBOTTSFIELD,Theft Of Vehicle
2,12,Q4,2011,ABBOTTSFIELD,Theft Of Vehicle
1,5,Q2,2011,ALBANY,Break and Enter
1,1,Q1,2011,ALBANY,Theft Over $5000
7,1,Q1,2011,ALBERTA AVENUE,Assault
8,2,Q1,2011,ALBERTA AVENUE,Assault
5,3,Q1,2011,ALBERTA AVENUE,Assault
8,4,Q2,2011,ALBERTA AVENUE,Assault
8,5,Q2,2011,ALBERTA AVENUE,Assault
11,6,Q2,2011,ALBERTA AVENUE,Assault
4,7,Q3,2011,ALBERTA AVENUE,Assault
13,8,Q3,2011,ALBERTA AVENUE,Assault
9,9,Q3,2011,ALBERTA AVENUE,Assault
8,10,Q4,2011,ALBERTA AVENUE,Assault
8,11,Q4,2011,ALBERTA AVENUE,Assault
3,12,Q4,2011,ALBERTA AVENUE,Assault
6,1,Q1,2011,ALBERTA AVENUE,Break and Enter
5,2,Q1,2011,ALBERTA AVENUE,Break and Enter
9,3,Q1,2011,ALBERTA AVENUE,Break and Enter
8,4,Q2,2011,ALBERTA AVENUE,Break and Enter
11,5,Q2,2011,ALBERTA AVENUE,Break and Enter
13,6,Q2,2011,ALBERTA AVENUE,Break and Enter
13,7,Q3,2011,ALBERTA AVENUE,Break and Enter
7,8,Q3,2011,ALBERTA AVENUE,Break and Enter
14,9,Q3,2011,ALBERTA AVENUE,Break and Enter
7,10,Q4,2011,ALBERTA AVENUE,Break and Enter
6,11,Q4,2011,ALBERTA AVENUE,Break and Enter
3,12,Q4,2011,ALBERTA AVENUE,Break and Enter
1,5,Q2,2011,ALBERTA AVENUE,Homicide
3,1,Q1,2011,ALBERTA AVENUE,Robbery
1,2,Q1,2011,ALBERTA AVENUE,Robbery
1,4,Q2,2011,ALBERTA AVENUE,Robbery
2,5,Q2,2011,ALBERTA AVENUE,Robbery
2,6,Q2,2011,ALBERTA AVENUE,Robbery
2,7,Q3,2011,ALBERTA AVENUE,Robbery
7,8,Q3,2011,ALBERTA AVENUE,Robbery
2,9,Q3,2011,ALBERTA AVENUE,Robbery
2,10,Q4,2011,ALBERTA AVENUE,Robbery
1,11,Q4,2011,ALBERTA AVENUE,Robbery
4,12,Q4,2011,ALBERTA AVENUE,Robbery
2,1,Q1,2011,ALBERTA AVENUE,Sexual Assaults
5,3,Q1,2011,ALBERTA AVENUE,Sexual Assaults
1,4,Q2,2011,ALBERTA AVENUE,Sexual Assaults
1,5,Q2,2011,ALBERTA AVENUE,Sexual Assaults
2,6,Q2,2011,ALBERTA AVENUE,Sexual Assaults
4,7,Q3,2011,ALBERTA AVENUE,Sexual Assaults
1,8,Q3,2011,ALBERTA AVENUE,Sexual Assaults
1,9,Q3,2011,ALBERTA AVENUE,Sexual Assaults
2,12,Q4,2011,ALBERTA AVENUE,Sexual Assaults
2,1,Q1,2011,ALBERTA AVENUE,Theft From Vehicle
3,2,Q1,2011,ALBERTA AVENUE,Theft From Vehicle
13,3,Q1,2011,ALBERTA AVENUE,Theft From Vehicle
10,4,Q2,2011,ALBERTA AVENUE,Theft From Vehicle
12,5,Q2,2011,ALBERTA AVENUE,Theft From Vehicle
5,6,Q2,2011,ALBERTA AVENUE,Theft From Vehicle
10,7,Q3,2011,ALBERTA AVENUE,Theft From Vehicle
8,8,Q3,2011,ALBERTA AVENUE,Theft From Vehicle
2,9,Q3,2011,ALBERTA AVENUE,Theft From Vehicle
7,10,Q4,2011,ALBERTA AVENUE,Theft From Vehicle
7,11,Q4,2011,ALBERTA AVENUE,Theft From Vehicle
16,12,Q4,2011,ALBERTA AVENUE,Theft From Vehicle
11,1,Q1,2011,ALBERTA AVENUE,Theft Of Vehicle
6,2,Q1,2011,ALBERTA AVENUE,Theft Of Vehicle
3,3,Q1,2011,ALBERTA AVENUE,Theft Of Vehicle
9,4,Q2,2011,ALBERTA AVENUE,Theft Of Vehicle
5,5,Q2,2011,ALBERTA AVENUE,Theft Of Vehicle
4,6,Q2,2011,ALBERTA AVENUE,Theft Of Vehicle
2,7,Q3,2011,ALBERTA AVENUE,Theft Of Vehicle
5,8,Q3,2011,ALBERTA AVENUE,Theft Of Vehicle
5,9,Q3,2011,ALBERTA AVENUE,Theft Of Vehicle
