,Canadian Citizen,No Response(Citizen),Non-Canadian Citizen,Refugee,No Longer In Use,Occupied,Unoccupied,Employed 0-30 Hours,Employed 30+ Hours,Gr.10 - Gr.12,Gr.7 - Gr.9,Homemaker,Kindergarten - Gr.6,No Response(Employment),Permanently Unable to Work,Post Secondary Student,Preschool,Retired,Unemployed,Common Law,Married,Never Married,No Response(Marital),Separated/Divorced,Widowed,Bicycle,Car/Truck/Van (as Driver),Car/Truck/Van (as Passenger),No Response(Transportation),Other,Public Transit,Walk,Catholic,No Response(School),Public
samples count,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0
mean,1623.9,444.9,186.6,1.0,20.5,931.3,61.5,119.4,819.0,56.9,58.7,68.2,140.2,472.0,24.9,96.4,108.5,226.7,65.4,112.3,726.2,753.8,482.5,115.1,65.5,8.3,733.3,50.8,134.7,25.6,149.4,36.8,417.3,614.7,1224.4
std,1671.5,703.7,274.8,4.2,59.5,1153.7,119.7,122.8,918.8,63.2,65.2,75.4,163.6,719.3,37.8,181.2,133.5,255.2,80.9,139.0,750.9,837.3,733.4,141.0,79.4,20.5,789.3,65.1,282.5,30.3,208.8,134.7,460.9,899.4,1301.7
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,1455.0,222.0,93.5,0.0,2.0,810.5,26.0,104.5,663.0,42.0,44.0,52.0,101.0,249.5,11.0,60.0,77.5,194.0,38.5,76.0,627.0,590.0,259.0,86.0,48.0,2.0,611.0,33.0,7.0,18.0,95.5,11.0,315.5,359.5,1048.0
75%,2590.0,539.0,245.0,0.0,13.0,1338.0,64.0,192.0,1267.0,88.0,93.0,108.0,217.0,584.0,37.0,127.0,168.0,365.0,103.0,173.0,1132.0,1194.0,622.0,184.0,101.0,8.0,1138.0,79.0,55.0,40.0,220.0,33.0,660.0,806.0,1939.0
max,13118.0,7573.0,1984.0,64.0,644.0,12794.0,1475.0,959.0,8301.0,336.0,383.0,474.0,1157.0,7636.0,326.0,3393.0,1027.0,2730.0,554.0,1409.0,4205.0,7045.0,7995.0,1705.0,759.0,266.0,5158.0,844.0,2775.0,248.0,2786.0,1940.0,3010.0,9455.0,10642.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
