NEIGHBOURHOOD,STRUCTURE_TYPE,OWNED,RENTED,NO_RESPONSE
ABBOTTSFIELD,Single-detached house,0,0,0
ABBOTTSFIELD,Duplex/triplex/fourplex,0,0,0
ABBOTTSFIELD,Row house,216,222,0
ABBOTTSFIELD,Apartment with 5 or more stories,0,0,0
ABBOTTSFIELD,Apartment with less than 5 stories,0,222,0
ABBOTTSFIELD,Manufactured home/mobile home,0,0,0
ABBOTTSFIELD,Rooming house/collective residence,0,0,0
ABBOTTSFIELD,Hotel or motel,0,0,0
ABBOTTSFIELD,Other residential,0,0,0
ABBOTTSFIELD,No Response,0,0,0
ALBERTA AVENUE,Single-detached house,1514,605,23
ALBERTA AVENUE,Duplex/triplex/fourplex,33,98,0
ALBERTA AVENUE,Row house,0,3,0
ALBERTA AVENUE,Apartment with 5 or more stories,0,51,0
ALBERTA AVENUE,Apartment with less than 5 stories,7,333,2
ALBERTA AVENUE,Manufactured home/mobile home,0,0,0
ALBERTA AVENUE,Rooming house/collective residence,1,6,0
ALBERTA AVENUE,Hotel or motel,0,1,0
ALBERTA AVENUE,Other residential,32,40,3
ALBERTA AVENUE,No Response,0,0,0
ALBERTA PARK INDUSTRIAL,Single-detached house,0,0,0
ALBERTA PARK INDUSTRIAL,Duplex/triplex/fourplex,0,0,0
ALBERTA PARK INDUSTRIAL,Row house,0,0,0
ALBERTA PARK INDUSTRIAL,Apartment with 5 or more stories,0,0,0
ALBERTA PARK INDUSTRIAL,Apartment with less than 5 stories,0,0,0
ALBERTA PARK INDUSTRIAL,Manufactured home/mobile home,0,0,0
ALBERTA PARK INDUSTRIAL,Rooming house/collective residence,0,0,0
ALBERTA PARK INDUSTRIAL,Hotel or motel,0,0,0
ALBERTA PARK INDUSTRIAL,Other residential,0,0,0
ALBERTA PARK INDUSTRIAL,No Response,0,0,0
ALDERGROVE,Single-detached house,1025,55,1
ALDERGROVE,Duplex/triplex/fourplex,0,0,0
ALDERGROVE,Row house,180,208,0
ALDERGROVE,Apartment with 5 or more stories,0,1,0
ALDERGROVE,Apartment with less than 5 stories,6,429,0
ALDERGROVE,Manufactured home/mobile home,0,0,0
ALDERGROVE,Rooming house/collective residence,0,0,0
ALDERGROVE,Hotel or motel,0,0,0
ALDERGROVE,Other residential,0,0,0
ALDERGROVE,No Response,0,0,0
ALLENDALE,Single-detached house,520,463,8
ALLENDALE,Duplex/triplex/fourplex,23,109,0
ALLENDALE,Row house,0,0,0
ALLENDALE,Apartment with 5 or more stories,0,0,0
ALLENDALE,Apartment with less than 5 stories,3,211,0
ALLENDALE,Manufactured home/mobile home,0,0,0
ALLENDALE,Rooming house/collective residence,0,4,0
