NEIGHBOURHOOD,STRUCTURE_TYPE,POPULATION
ABBOTTSFIELD,Single-detached house,0
ABBOTTSFIELD,Duplex/triplex/fourplex,0
ABBOTTSFIELD,Row house,1289
ABBOTTSFIELD,Apartment with 5 or more stories,0
ABBOTTSFIELD,Apartment with less than 5 stories,526
ABBOTTSFIELD,Manufactured home/mobile home,0
ABBOTTSFIELD,Rooming house/collective residence,0
ABBOTTSFIELD,Hotel or motel,0
ABBOTTSFIELD,Other residential,0
ABBOTTSFIELD,No Response,0
ALBERTA AVENUE,Single-detached house,5227
ALBERTA AVENUE,Duplex/triplex/fourplex,359
ALBERTA AVENUE,Row house,9
ALBERTA AVENUE,Apartment with 5 or more stories,81
ALBERTA AVENUE,Apartment with less than 5 stories,468
ALBERTA AVENUE,Manufactured home/mobile home,0
ALBERTA AVENUE,Rooming house/collective residence,14
ALBERTA AVENUE,Hotel or motel,4
ALBERTA AVENUE,Other residential,147
ALBERTA AVENUE,No Response,0
ALBERTA PARK INDUSTRIAL,Single-detached house,0
ALBERTA PARK INDUSTRIAL,Duplex/triplex/fourplex,0
ALBERTA PARK INDUSTRIAL,Row house,0
ALBERTA PARK INDUSTRIAL,Apartment with 5 or more stories,0
ALBERTA PARK INDUSTRIAL,Apartment with less than 5 stories,0
ALBERTA PARK INDUSTRIAL,Manufactured home/mobile home,0
ALBERTA PARK INDUSTRIAL,Rooming house/collective residence,0
ALBERTA PARK INDUSTRIAL,Hotel or motel,0
ALBERTA PARK INDUSTRIAL,Other residential,0
ALBERTA PARK INDUSTRIAL,No Response,0
ALDERGROVE,Single-detached house,3260
ALDERGROVE,Duplex/triplex/fourplex,0
ALDERGROVE,Row house,1070
ALDERGROVE,Apartment with 5 or more stories,1
ALDERGROVE,Apartment with less than 5 stories,1086
ALDERGROVE,Manufactured home/mobile home,0
ALDERGROVE,Rooming house/collective residence,0
ALDERGROVE,Hotel or motel,0
ALDERGROVE,Other residential,0
ALDERGROVE,No Response,0
ALLENDALE,Single-detached house,2219
ALLENDALE,Duplex/triplex/fourplex,353
ALLENDALE,Row house,0
ALLENDALE,Apartment with 5 or more stories,0
ALLENDALE,Apartment with less than 5 stories,301
ALLENDALE,Manufactured home/mobile home,0
ALLENDALE,Rooming house/collective residence,16
ALLENDALE,Hotel or motel,0
ALLENDALE,Other residential,0
ALLENDALE,No Response,0
AMBLESIDE,Single-detached house,233
AMBLESIDE,Duplex/triplex/fourplex,8
AMBLESIDE,Row house,0
AMBLESIDE,Apartment with 5 or more stories,0
AMBLESIDE,Apartment with less than 5 stories,7
