WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD NAME,OWNED,RENTED,NO_RESPONSE
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0
Ward 1,4020,ALDERGROVE,1175,728,43
Ward 1,4011,ANTHONY HENDAY,0,0,0
Ward 1,4030,ARMSTRONG INDUSTRIAL,0,1,0
Ward 1,4040,BELMEAD,1022,505,129
Ward 1,4700,BRECKENRIDGE GREENS,617,84,56
Ward 1,4060,BRITANNIA YOUNGSTOWN,730,1394,113
Ward 1,4090,CANORA,376,1103,87
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0
Ward 1,3140,CRESTWOOD,798,67,47
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0
Ward 1,4180,GLENWOOD,985,1181,64
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0
Ward 1,4473,HAWKS RIDGE,0,0,0
Ward 1,4200,HIGH PARK,435,113,46
Ward 1,4230,JASPER PARK,307,303,273
Ward 1,4475,KINOKAMAU PLAINS AREA,23,5,13
Ward 1,4240,LA PERLE,1165,610,179
Ward 1,4485,LEWIS FARMS INDUSTRIAL,18,4,9
Ward 1,4290,MAYFIELD,642,157,59
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0
Ward 1,4310,MEADOWLARK PARK,950,132,85
Ward 1,4340,MORIN INDUSTRIAL,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0
Ward 1,3330,PARKVIEW,1140,92,50
Ward 1,4400,PLACE LARUE,0,0,0
Ward 1,4710,POTTER GREENS,541,9,9
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,45,3,13
Ward 1,4480,RURAL WEST LEWIS FARMS,0,0,0
Ward 1,4487,SECORD,279,9,47
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0
Ward 1,4500,SHERWOOD,275,260,43
Ward 1,4486,STEWART GREENS,0,0,0
Ward 1,4510,STONE INDUSTRIAL,0,0,0
Ward 1,4730,SUDER GREENS,857,74,63
Ward 1,4520,SUMMERLEA,474,301,189
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0
Ward 1,4540,TERRA LOSA,908,376,81
Ward 1,4471,TRUMPETER AREA,48,3,15
Ward 1,4740,WEBBER GREENS,167,5,4
Ward 1,4580,WEST JASPER PLACE,385,997,112
Ward 1,4590,WEST MEADOWLARK PARK,731,455,130
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,945,64,30
Ward 1,4630,WHITE INDUSTRIAL,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,2,13,3
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0
Ward 2,3460,ALBANY,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,0,0,0
Ward 2,3010,ATHLONE,826,275,54
Ward 2,3020,BARANOW,330,276,129
Ward 2,4050,BONAVENTURE INDUSTRIAL,0,0,0
Ward 2,3050,BROWN INDUSTRIAL,0,0,0
Ward 2,3060,CAERNARVON,1055,427,91
Ward 2,3070,CALDER,895,825,62
Ward 2,3090,CARLISLE,856,469,39
Ward 2,3470,CARLTON,832,72,27
Ward 2,3150,CUMBERLAND,1674,311,138
Ward 2,3160,DOMINION INDUSTRIAL,0,0,0
Ward 2,3170,DOVERCOURT,599,215,53
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,0,0,0
Ward 2,3111,GRIESBACH,428,839,36
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,0,0,0
Ward 2,3480,HUDSON,489,148,50
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0
Ward 2,3240,INGLEWOOD,738,2729,138
Ward 2,3250,KENSINGTON,1035,494,67
Ward 2,3260,LAUDERDALE,599,508,36
Ward 2,3290,MCARTHUR INDUSTRIAL,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,0,0,0
Ward 2,3320,OXFORD,1011,84,45
Ward 2,3340,PEMBINA,197,59,29
Ward 2,3350,PRINCE CHARLES,339,211,60
Ward 2,1170,PRINCE RUPERT,290,284,57
Ward 2,3360,RAMPART INDUSTRIAL,0,0,0
Ward 2,3390,ROSSLYN,731,460,49
Ward 2,3400,RURAL NORTH WEST,0,0,0
Ward 2,3410,SHERBROOKE,574,409,48
Ward 2,1230,SPRUCE AVENUE,271,534,289
Ward 2,3430,WELLINGTON,771,395,46
Ward 2,1250,WESTWOOD,296,1423,115
Ward 2,3450,WOODCROFT,496,761,12
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,1,0
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0
Ward 3,3030,BATURYN,1257,341,121
Ward 3,3040,BEAUMARIS,1314,493,121
Ward 3,2050,BELLE RIVE,1058,92,22
Ward 3,3080,CANOSSA,917,70,32
Ward 3,3120,CHAMBERY,545,20,24
Ward 3,2210,CRYSTALLINA NERA,0,0,0
Ward 3,3180,DUNLUCE,1358,856,204
Ward 3,2241,EAUX CLAIRES,923,163,63
Ward 3,3190,ELSINORE,649,24,56
Ward 3,2260,EVANSDALE,1078,917,79
Ward 3,2410,KILKENNY,1242,806,43
Ward 3,2440,KLARVATTEN,1300,89,118
Ward 3,2450,LAGO LINDO,1194,130,39
Ward 3,2461,LAKE DISTRICT NORTH EAST PORTION,0,0,0
Ward 3,3280,LORELEI,920,409,118
Ward 3,2511,MAYLIEWAN,1166,57,40
Ward 3,2600,OZERNA,1210,95,66
Ward 3,3370,RAPPERSWILL,0,0,0
Ward 3,2700,SCHONSEE,464,16,27
Ward 4,2030,BANNERMAN,730,395,67
Ward 4,2070,BELMONT,1229,670,101
Ward 4,2080,BELVEDERE,1049,1132,181
Ward 4,2110,BRINTNELL,1312,141,154
Ward 4,2120,CANON RIDGE,604,269,62
Ward 4,2130,CASSELMAN,755,506,146
Ward 4,2145,CLAREVIEW TOWN CENTRE,643,745,120
Ward 4,2160,CLOVER BAR AREA,0,0,0
Ward 4,2251,EBBERS,0,0,0
Ward 4,2270,EVERGREEN,615,37,17
Ward 4,2280,FRASER,807,308,91
Ward 4,2311,GORMAN,0,0,0
Ward 4,2320,HAIRSINE,544,380,52
Ward 4,2340,HOLLICK-KENYON,1554,98,53
Ward 4,2350,HOMESTEADER,592,602,57
Ward 4,2380,KENNEDALE INDUSTRIAL,0,0,0
Ward 4,2390,KERNOHAN,920,174,72
Ward 4,2430,KIRKNESS,746,578,90
Ward 4,2500,MATT BERRY,1089,80,94
Ward 4,2521,MCCONACHIE AREA,263,7,40
Ward 4,2530,MCLEOD,789,58,15
Ward 4,2541,MILLER,827,204,75
Ward 4,2590,OVERLANDERS,302,869,83
Ward 4,2610,PILOT SOUND AREA WEST PORTION,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,0,0,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,54,8,19
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,41,12,16
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,159,8,16
Ward 4,2710,SIFTON PARK,307,522,43
Ward 4,2720,YORK,870,563,44
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0
Ward 5,4070,CALLINGWOOD NORTH,412,574,150
Ward 5,4080,CALLINGWOOD SOUTH,634,2174,44
Ward 5,4466,CAMERON HEIGHTS,357,14,7
Ward 5,4110,DECHENE,454,20,121
Ward 5,4120,DONSDALE,303,8,200
Ward 5,4140,ELMWOOD,563,334,147
Ward 5,4160,GARIEPY,619,51,65
Ward 5,4720,GLASTONBURY,1668,383,248
Ward 5,4551,GRANVILLE,69,1,0
Ward 5,4220,JAMIESON PLACE,1129,66,114
Ward 5,3270,LAURIER HEIGHTS,829,28,319
Ward 5,4270,LYMBURN,1584,399,153
Ward 5,4280,LYNNWOOD,625,707,51
Ward 5,4360,OLESKIW,980,44,49
Ward 5,4380,ORMSBY PLACE,1290,494,101
Ward 5,4390,PATRICIA HEIGHTS,338,337,24
Ward 5,4420,QUESNELL HEIGHTS,113,0,5
Ward 5,4430,RIO TERRACE,462,17,21
Ward 5,4467,RIVER VALLEY CAMERON,0,0,0
Ward 5,3382,RIVER VALLEY LAURIER,0,0,0
Ward 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,0,0,0
Ward 5,4460,RURAL WEST,166,5,12
Ward 5,4461,THE HAMPTONS,2602,356,354
Ward 5,4560,THORNCLIFF,530,676,111
Ward 5,4570,WEDGEWOOD HEIGHTS,436,9,61
Ward 5,4610,WESTRIDGE,469,3,15
Ward 6,1020,BOYLE STREET,412,2927,219
Ward 6,1030,CENTRAL MCDOUGALL,206,2538,181
Ward 6,1090,DOWNTOWN,1650,5455,561
Ward 6,3200,GLENORA,1055,284,133
Ward 6,3210,GROVENOR,669,237,98
Ward 6,1140,MCCAULEY,413,1634,135
Ward 6,3300,MCQUEEN,319,357,135
Ward 6,3310,NORTH GLENORA,553,235,61
Ward 6,1150,OLIVER,3455,8542,527
Ward 6,1180,QUEEN MARY PARK,890,2886,254
Ward 6,3381,RIVER VALLEY GLENORA,0,0,0
Ward 6,1200,RIVER VALLEY VICTORIA,0,0,0
Ward 6,1210,RIVERDALE,617,317,14
Ward 6,1220,ROSSDALE,228,232,15
Ward 6,3440,WESTMOUNT,1465,1314,335
Ward 7,2010,ABBOTTSFIELD,191,510,21
Ward 7,1010,ALBERTA AVENUE,1420,1119,288
Ward 7,2020,BALWIN,847,590,80
Ward 7,2040,BEACON HEIGHTS,771,333,190
Ward 7,2060,BELLEVUE,351,91,33
Ward 7,2090,BERGMAN,471,51,14
Ward 7,2100,BEVERLY HEIGHTS,909,578,91
Ward 7,1070,CROMDALE,361,722,14
Ward 7,1080,DELTON,457,332,89
Ward 7,2230,DELWOOD,1122,174,42
Ward 7,1100,EASTWOOD,514,1312,120
Ward 7,1120,EDMONTON NORTHLANDS,1,1,0
Ward 7,1130,ELMWOOD PARK,221,270,71
Ward 7,2290,GLENGARRY,839,369,30
Ward 7,2330,HIGHLANDS,900,277,30
Ward 7,2360,INDUSTRIAL HEIGHTS,0,0,0
Ward 7,2400,KILDARE,654,441,58
Ward 7,2420,KILLARNEY,614,1066,55
Ward 7,2550,MONTROSE,737,566,148
Ward 7,2560,NEWTON,850,274,136
Ward 7,2580,NORTHMOUNT,865,257,29
Ward 7,1160,PARKDALE,758,633,173
Ward 7,2640,RIVER VALLEY HIGHLANDS,0,0,0
Ward 7,1190,RIVER VALLEY KINNAIRD,0,0,0
Ward 7,2650,RIVER VALLEY RUNDLE,0,0,0
Ward 7,2660,RUNDLE HEIGHTS,474,744,120
Ward 7,1240,VIRGINIA PARK,136,262,20
Ward 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0
Ward 8,5040,BELGRAVIA,652,223,4
Ward 8,6040,BONNIE DOON,947,1018,206
Ward 8,6061,CAPILANO,943,66,75
Ward 8,6070,CLOVERDALE,342,82,24
Ward 8,5150,CPR WEST,0,0,0
Ward 8,6180,EASTGATE BUSINESS PARK,0,0,0
Ward 8,6230,FOREST HEIGHTS,974,658,267
Ward 8,6240,FULTON PLACE,772,164,6
Ward 8,5200,GARNEAU,885,3907,566
Ward 8,6270,GOLD BAR,796,334,14
Ward 8,6310,HOLYROOD,840,619,65
Ward 8,6320,IDYLWYLDE,489,412,34
Ward 8,6350,KENILWORTH,821,199,46
Ward 8,6380,LAMBTON INDUSTRIAL,0,1,0
Ward 8,5290,MCKERNAN,399,627,127
Ward 8,6491,MILL CREEK RAVINE NORTH,0,0,0
Ward 8,6550,OTTEWELL,1799,610,157
Ward 8,5330,QUEEN ALEXANDRA,506,2051,226
Ward 8,6620,RIVER VALLEY GOLD BAR,0,0,0
Ward 8,5370,RIVER VALLEY MAYFAIR,0,0,0
Ward 8,6630,RIVER VALLEY RIVERSIDE,0,0,0
Ward 8,5390,RIVER VALLEY WALTERDALE,0,0,0
Ward 8,5480,STRATHCONA,1320,3473,408
Ward 8,6710,STRATHEARN,469,971,45
Ward 8,6730,TERRACE HEIGHTS,435,585,97
Ward 8,5520,UNIVERSITY OF ALBERTA,0,0,0
Ward 8,5580,WINDSOR PARK,358,79,14
Ward 9,5458,ALLARD,81,3,5
Ward 9,5505,AMBLESIDE,867,67,39
Ward 9,4014,ANTHONY HENDAY SOUTH,0,0,0
Ward 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0
Ward 9,5590,BLACKBURNE,540,28,15
Ward 9,5453,BLACKMUD CREEK,792,93,39
Ward 9,5080,BRANDER GARDENS,613,435,17
Ward 9,5090,BROOKSIDE,556,141,5
Ward 9,5100,BULYEA HEIGHTS,1144,20,33
Ward 9,5457,CALLAGHAN,385,18,27
Ward 9,5130,CARTER CREST,524,16,70
Ward 9,5462,CHAPPELLE AREA,43,4,3
Ward 9,5463,DESROCHERS AREA,0,0,0
Ward 9,5190,FALCONER HEIGHTS,552,171,147
Ward 9,5610,HADDOW,1364,108,80
Ward 9,5230,HENDERSON ESTATES,564,6,47
Ward 9,5456,HERITAGE VALLEY AREA,0,0,0
Ward 9,5461,HERITAGE VALLEY AREA EAST,0,0,0
Ward 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,0,0,0
Ward 9,5620,HODGSON,761,107,78
Ward 9,5630,LEGER,681,66,47
Ward 9,5452,MACEWAN,1532,704,98
Ward 9,5477,MACTAGGART,464,28,64
Ward 9,5476,MAGRATH HEIGHTS,800,80,57
Ward 9,5300,OGILVIE RIDGE,313,8,26
Ward 9,5340,RAMSAY HEIGHTS,898,435,36
Ward 9,5350,RHATIGAN RIDGE,1053,31,29
Ward 9,5451,RICHFORD,163,6,17
Ward 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0
Ward 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0
Ward 9,5405,RIVER VALLEY WINDERMERE,0,0,0
Ward 9,5454,RUTHERFORD,2384,505,254
Ward 9,5641,SOUTH TERWILLEGAR,2031,563,469
Ward 9,5640,TERWILLEGAR TOWNE,1745,248,291
Ward 9,5511,TWIN BROOKS,1933,95,209
Ward 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0
Ward 9,5570,WINDERMERE,694,30,48
Ward 9,5575,WINDERMERE AREA,0,0,0
Ward 10,5010,ALLENDALE,486,704,82
Ward 10,5020,ASPEN GARDENS,570,44,20
Ward 10,5030,BEARSPAW,732,70,15
Ward 10,5050,BLACKMUD CREEK RAVINE,0,0,0
Ward 10,5060,BLUE QUILL,696,1200,81
Ward 10,5070,BLUE QUILL ESTATES,286,228,33
Ward 10,5110,CALGARY TRAIL NORTH,0,0,0
Ward 10,5120,CALGARY TRAIL SOUTH,0,0,0
Ward 10,5160,DUGGAN,955,611,144
