WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,MARRIED,COMMON-LAW,SEPARATED/DIVORCED,NEVER_MARRIED,WIDOWED,NO_RESPONSE
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0
Ward 1,4020,ALDERGROVE,2099,273,287,2372,147,337
Ward 1,4011,ANTHONY HENDAY,0,0,0,0,0,0
Ward 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,0,0,125
Ward 1,4040,BELMEAD,1713,205,277,1852,117,439
Ward 1,4700,BRECKENRIDGE GREENS,861,80,99,678,45,148
Ward 1,4060,BRITANNIA YOUNGSTOWN,1222,401,401,1842,169,724
Ward 1,4090,CANORA,719,268,315,1397,117,519
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0
Ward 1,3140,CRESTWOOD,1050,59,99,702,94,319
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0,0,0,0
Ward 1,4180,GLENWOOD,1508,308,429,1864,274,712
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0
Ward 1,4473,HAWKS RIDGE,0,0,0,0,0,0
Ward 1,4200,HIGH PARK,563,88,109,391,65,173
Ward 1,4230,JASPER PARK,271,55,59,268,46,1141
Ward 1,4475,KINOKAMAU PLAINS AREA,20,8,1,18,3,56
Ward 1,4240,LA PERLE,1656,242,334,1946,136,808
Ward 1,4485,LEWIS FARMS INDUSTRIAL,22,2,2,20,2,27
Ward 1,4290,MAYFIELD,658,127,178,674,90,241
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0,0,0
Ward 1,4310,MEADOWLARK PARK,859,128,155,717,207,542
Ward 1,4340,MORIN INDUSTRIAL,0,0,0,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0,0,0,0
Ward 1,3330,PARKVIEW,1534,116,166,1174,122,222
Ward 1,4400,PLACE LARUE,0,0,0,0,0,0
Ward 1,4710,POTTER GREENS,851,58,43,279,36,253
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0,0,0
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,64,2,2,24,0,60
Ward 1,4480,RURAL WEST LEWIS FARMS,0,0,0,0,0,0
Ward 1,4487,SECORD,373,49,6,42,2,442
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0,0,0
Ward 1,4500,SHERWOOD,305,80,72,311,51,435
Ward 1,4486,STEWART GREENS,0,0,0,0,0,0
Ward 1,4510,STONE INDUSTRIAL,0,0,0,0,0,0
Ward 1,4730,SUDER GREENS,1218,122,108,1037,49,277
Ward 1,4520,SUMMERLEA,740,93,118,714,96,297
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0
Ward 1,4540,TERRA LOSA,668,119,238,571,271,321
Ward 1,4471,TRUMPETER AREA,47,14,5,27,0,67
Ward 1,4740,WEBBER GREENS,272,24,8,112,7,126
Ward 1,4580,WEST JASPER PLACE,774,159,234,1054,129,616
Ward 1,4590,WEST MEADOWLARK PARK,952,183,223,858,111,1009
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,700,250,249,706,87,250
