WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,OWNED,RENTED,NO_RESPONSE
Ward 1,3140,CRESTWOOD,690,135,75
Ward 1,3330,PARKVIEW,1145,94,46
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0
Ward 1,4011,ANTHONY HENDAY,0,0,0
Ward 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0
Ward 1,4020,ALDERGROVE,1113,611,211
Ward 1,4030,ARMSTRONG INDUSTRIAL,0,0,15
Ward 1,4040,BELMEAD,1004,504,145
Ward 1,4060,BRITANNIA YOUNGSTOWN,614,1144,548
Ward 1,4090,CANORA,391,814,320
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0
Ward 1,4180,GLENWOOD,922,899,448
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0
Ward 1,4200,HIGH PARK,349,78,170
Ward 1,4230,JASPER PARK,363,362,125
Ward 1,4240,LA PERLE,1265,593,106
Ward 1,4290,MAYFIELD,570,143,145
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0
Ward 1,4310,MEADOWLARK PARK,888,117,177
Ward 1,4340,MORIN INDUSTRIAL,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0
Ward 1,4400,PLACE LARUE,0,0,0
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,41,6,9
Ward 1,4471,TRUMPETER AREA,153,0,58
Ward 1,4473,HAWKS RIDGE,21,1,3
Ward 1,4474,STARLING,53,2,18
Ward 1,4475,KINOKAMAU PLAINS AREA,26,9,7
Ward 1,4485,LEWIS FARMS INDUSTRIAL,17,6,10
Ward 1,4486,STEWART GREENS,0,0,0
Ward 1,4487,SECORD,628,22,72
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0
Ward 1,4500,SHERWOOD,258,265,63
Ward 1,4510,STONE INDUSTRIAL,0,0,0
Ward 1,4520,SUMMERLEA,430,257,222
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0
Ward 1,4540,TERRA LOSA,871,247,172
Ward 1,4580,WEST JASPER PLACE,416,923,210
Ward 1,4590,WEST MEADOWLARK PARK,683,429,386
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,676,75,291
Ward 1,4630,WHITE INDUSTRIAL,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,2,6,11
Ward 1,4700,BRECKENRIDGE GREENS,629,90,39
Ward 1,4710,POTTER GREENS,535,9,21
Ward 1,4730,SUDER GREENS,840,217,98
Ward 1,4740,WEBBER GREENS,448,14,75
Ward 1,4750,ROSENTHAL,27,1,3
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0
Ward 2,1170,PRINCE RUPERT,292,302,48
Ward 2,1230,SPRUCE AVENUE,248,329,309
Ward 2,1250,WESTWOOD,272,1471,198
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0
Ward 2,3010,ATHLONE,770,264,111
Ward 2,3020,BARANOW,254,302,223
Ward 2,3050,BROWN INDUSTRIAL,0,0,0
Ward 2,3060,CAERNARVON,1018,337,212
Ward 2,3070,CALDER,853,721,258
Ward 2,3090,CARLISLE,788,494,80
Ward 2,3111,GRIESBACH,496,276,623
Ward 2,3150,CUMBERLAND,1628,270,254
Ward 2,3160,DOMINION INDUSTRIAL,0,0,0
