WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,OCCUPIED,UNOCCUPIED,NO_LONGER_IN_USE,NO_RESPONSE
Ward 1,3140,CRESTWOOD,900,44,9,0
Ward 1,3330,PARKVIEW,1285,45,3,0
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0
Ward 1,4011,ANTHONY HENDAY,0,0,0,0
Ward 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0
Ward 1,4020,ALDERGROVE,1935,42,5,0
Ward 1,4030,ARMSTRONG INDUSTRIAL,15,1,0,0
Ward 1,4040,BELMEAD,1653,24,33,0
Ward 1,4060,BRITANNIA YOUNGSTOWN,2306,75,48,0
Ward 1,4090,CANORA,1525,144,183,0
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0,0
Ward 1,4180,GLENWOOD,2269,124,53,0
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0
Ward 1,4200,HIGH PARK,597,70,14,0
Ward 1,4230,JASPER PARK,850,47,47,0
Ward 1,4240,LA PERLE,1964,56,5,0
Ward 1,4290,MAYFIELD,858,25,3,0
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0
Ward 1,4310,MEADOWLARK PARK,1182,21,10,0
Ward 1,4340,MORIN INDUSTRIAL,0,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0,0
Ward 1,4400,PLACE LARUE,0,0,0,0
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,56,5,13,0
Ward 1,4471,TRUMPETER AREA,211,6,6,0
Ward 1,4473,HAWKS RIDGE,25,2,1,0
Ward 1,4474,STARLING,73,4,2,0
Ward 1,4475,KINOKAMAU PLAINS AREA,42,2,4,0
Ward 1,4485,LEWIS FARMS INDUSTRIAL,33,2,12,0
Ward 1,4486,STEWART GREENS,0,0,0,0
Ward 1,4487,SECORD,722,26,9,0
