WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,CAR/TRUCK/VAN_(AS_DRIVER),CAR/TRUCK/VAN_(AS_PASSENGER),TRANSIT,WALK,BICYCLE,OTHER,NO_RESPONSE
Ward 1,3140,CRESTWOOD,774,300,130,29,19,73,396
Ward 1,3330,PARKVIEW,1552,103,146,53,29,87,753
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0,0
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4011,ANTHONY HENDAY,0,0,0,0,0,0,0
Ward 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0,0,0,0
Ward 1,4020,ALDERGROVE,2170,209,563,76,9,97,851
Ward 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4040,BELMEAD,1754,179,443,83,5,66,780
Ward 1,4060,BRITANNIA YOUNGSTOWN,1227,150,326,93,14,42,617
Ward 1,4090,CANORA,924,125,297,61,10,38,496
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4180,GLENWOOD,1521,183,426,127,10,68,939
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4200,HIGH PARK,483,27,57,10,6,33,258
Ward 1,4230,JASPER PARK,654,58,187,35,10,27,306
Ward 1,4240,LA PERLE,2162,212,495,74,7,82,858
Ward 1,4290,MAYFIELD,736,240,126,23,2,30,249
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4310,MEADOWLARK PARK,939,78,158,55,14,59,611
Ward 1,4340,MORIN INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4400,PLACE LARUE,0,0,0,0,0,0,0
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,76,4,1,0,0,3,30
Ward 1,4471,TRUMPETER AREA,244,10,9,1,0,7,33
Ward 1,4473,HAWKS RIDGE,32,2,1,0,0,2,3
Ward 1,4474,STARLING,89,3,3,0,0,2,12
Ward 1,4475,KINOKAMAU PLAINS AREA,57,4,0,1,0,2,17
Ward 1,4485,LEWIS FARMS INDUSTRIAL,24,2,0,1,0,2,11
Ward 1,4486,STEWART GREENS,0,0,0,0,0,0,0
Ward 1,4487,SECORD,1122,65,88,4,1,27,167
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4500,SHERWOOD,463,34,125,22,5,23,266
Ward 1,4510,STONE INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4520,SUMMERLEA,691,65,98,69,3,44,377
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4540,TERRA LOSA,715,58,141,61,3,38,635
Ward 1,4580,WEST JASPER PLACE,986,130,351,60,13,225,288
Ward 1,4590,WEST MEADOWLARK PARK,1285,295,300,112,13,25,281
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,783,55,103,11,3,28,316
Ward 1,4630,WHITE INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,0,0
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,5,0,0,2,0,0,2
Ward 1,4700,BRECKENRIDGE GREENS,1002,74,104,8,2,32,296
Ward 1,4710,POTTER GREENS,757,54,78,4,1,34,359
Ward 1,4730,SUDER GREENS,1560,147,196,4,0,35,406
Ward 1,4740,WEBBER GREENS,714,68,160,3,1,12,224
Ward 1,4750,ROSENTHAL,51,5,2,0,0,0,16
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0,0
Ward 2,1170,PRINCE RUPERT,532,56,109,44,12,14,295
Ward 2,1230,SPRUCE AVENUE,475,33,174,68,17,12,169
Ward 2,1250,WESTWOOD,1156,122,583,69,15,30,357
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0,0
Ward 2,3010,ATHLONE,1299,138,293,34,12,48,473
Ward 2,3020,BARANOW,404,48,59,19,2,22,246
Ward 2,3050,BROWN INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,3060,CAERNARVON,1545,172,429,29,6,38,618
Ward 2,3070,CALDER,1465,169,269,53,10,49,762
Ward 2,3090,CARLISLE,1473,162,326,36,8,59,661
Ward 2,3111,GRIESBACH,732,374,260,35,8,90,110
Ward 2,3150,CUMBERLAND,2245,844,278,24,5,79,932
Ward 2,3160,DOMINION INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,3170,DOVERCOURT,936,80,148,26,14,27,344
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,3240,INGLEWOOD,1603,181,629,151,47,76,995
Ward 2,3250,KENSINGTON,1208,123,203,52,10,71,1092
Ward 2,3260,LAUDERDALE,1079,157,203,44,8,39,537
Ward 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,3320,OXFORD,1466,133,157,17,2,64,717
Ward 2,3340,PEMBINA,271,25,36,14,1,10,40
Ward 2,3350,PRINCE CHARLES,641,40,112,10,5,8,227
Ward 2,3360,RAMPART INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,3390,ROSSLYN,1171,151,257,37,6,44,697
Ward 2,3410,SHERBROOKE,965,101,218,27,9,29,432
Ward 2,3430,WELLINGTON,1164,81,231,71,14,59,675
Ward 2,3450,WOODCROFT,770,97,214,77,23,41,701
Ward 2,3460,ALBANY,288,22,14,3,1,9,69
Ward 2,3470,CARLTON,1767,153,205,40,1,57,466
Ward 2,3480,HUDSON,782,68,124,12,5,15,208
Ward 2,3490,GOODRIDGE CORNERS,0,0,0,0,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0,0,0,0
Ward 2,4023,ANTHONY HENDAY RAMPART,0,0,0,0,0,0,0
Ward 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,0,0,0,0,0,0,0
Ward 3,2050,BELLE RIVE,1783,243,327,29,4,47,561
Ward 3,2210,CRYSTALLINA NERA,0,0,0,0,0,0,0
Ward 3,2241,EAUX CLAIRES,1427,81,216,35,3,29,513
Ward 3,2260,EVANSDALE,1882,184,381,44,7,54,1376
Ward 3,2410,KILKENNY,2066,171,424,66,10,74,1246
