WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,PUBLIC,CATHOLIC,NO_RESPONSE
Ward 1,3140,CRESTWOOD,1346,576,365
Ward 1,3330,PARKVIEW,2186,927,200
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0
Ward 1,4011,ANTHONY HENDAY,0,0,0
Ward 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0
Ward 1,4020,ALDERGROVE,3465,1023,862
Ward 1,4030,ARMSTRONG INDUSTRIAL,0,0,121
Ward 1,4040,BELMEAD,2592,1045,972
Ward 1,4060,BRITANNIA YOUNGSTOWN,2046,643,2016
Ward 1,4090,CANORA,1632,573,1143
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0
Ward 1,4180,GLENWOOD,2663,1093,1526
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0
Ward 1,4200,HIGH PARK,733,196,453
Ward 1,4230,JASPER PARK,1041,342,484
Ward 1,4240,LA PERLE,3095,1205,896
Ward 1,4290,MAYFIELD,1061,355,546
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0
Ward 1,4310,MEADOWLARK PARK,1596,458,612
Ward 1,4340,MORIN INDUSTRIAL,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0
Ward 1,4400,PLACE LARUE,0,0,0
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,105,26,21
Ward 1,4471,TRUMPETER AREA,228,132,144
Ward 1,4473,HAWKS RIDGE,35,17,5
Ward 1,4474,STARLING,83,55,41
Ward 1,4475,KINOKAMAU PLAINS AREA,72,26,18
Ward 1,4485,LEWIS FARMS INDUSTRIAL,40,7,27
Ward 1,4486,STEWART GREENS,0,0,0
Ward 1,4487,SECORD,1252,594,291
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0
Ward 1,4500,SHERWOOD,780,280,320
Ward 1,4510,STONE INDUSTRIAL,0,0,0
Ward 1,4520,SUMMERLEA,1158,274,598
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0
Ward 1,4540,TERRA LOSA,1195,519,501
Ward 1,4580,WEST JASPER PLACE,1526,674,831
Ward 1,4590,WEST MEADOWLARK PARK,1857,865,958
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,1132,267,580
Ward 1,4630,WHITE INDUSTRIAL,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,10,0,126
Ward 1,4700,BRECKENRIDGE GREENS,1238,458,204
Ward 1,4710,POTTER GREENS,1020,423,86
Ward 1,4730,SUDER GREENS,2025,763,477
Ward 1,4740,WEBBER GREENS,984,445,315
Ward 1,4750,ROSENTHAL,65,28,13
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0
Ward 2,1170,PRINCE RUPERT,579,197,578
Ward 2,1230,SPRUCE AVENUE,782,276,816
Ward 2,1250,WESTWOOD,1767,407,1250
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0
Ward 2,3010,ATHLONE,1562,846,735
Ward 2,3020,BARANOW,633,166,569
Ward 2,3050,BROWN INDUSTRIAL,0,0,0
Ward 2,3060,CAERNARVON,2087,1038,1128
Ward 2,3070,CALDER,2150,878,1196
Ward 2,3090,CARLISLE,2117,1147,648
Ward 2,3111,GRIESBACH,1368,409,1975
Ward 2,3150,CUMBERLAND,3683,1812,944
Ward 2,3160,DOMINION INDUSTRIAL,0,0,0
Ward 2,3170,DOVERCOURT,1387,494,237
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0
Ward 2,3240,INGLEWOOD,2905,1200,2666
Ward 2,3250,KENSINGTON,2209,906,545
Ward 2,3260,LAUDERDALE,1232,503,1122
Ward 2,3290,MCARTHUR INDUSTRIAL,0,0,0
Ward 2,3320,OXFORD,1583,892,978
Ward 2,3340,PEMBINA,218,103,221
Ward 2,3350,PRINCE CHARLES,894,350,350
Ward 2,3360,RAMPART INDUSTRIAL,0,0,0
Ward 2,3390,ROSSLYN,1814,506,656
Ward 2,3410,SHERBROOKE,1369,700,420
Ward 2,3430,WELLINGTON,1636,905,618
Ward 2,3450,WOODCROFT,1401,660,631
Ward 2,3460,ALBANY,146,52,427
Ward 2,3470,CARLTON,2195,981,672
Ward 2,3480,HUDSON,894,526,574
Ward 2,3490,GOODRIDGE CORNERS,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,0,0,0
Ward 2,4023,ANTHONY HENDAY RAMPART,0,0,0
Ward 2,4050,BONAVENTURE INDUSTRIAL,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,0,0,0
Ward 3,2050,BELLE RIVE,2115,1282,441
Ward 3,2210,CRYSTALLINA NERA,0,0,0
Ward 3,2241,EAUX CLAIRES,1409,853,886
Ward 3,2260,EVANSDALE,3454,1525,879
Ward 3,2410,KILKENNY,3490,1452,783
Ward 3,2440,KLARVATTEN,2867,1859,783
Ward 3,2450,LAGO LINDO,2329,1292,418
Ward 3,2461,CRYSTALLINA NERA EAST,0,0,0
Ward 3,2511,MAYLIEWAN,2407,1367,432
Ward 3,2600,OZERNA,2511,1492,496
Ward 3,2700,SCHONSEE,1309,768,386
Ward 3,3030,BATURYN,2816,1579,517
Ward 3,3040,BEAUMARIS,2395,1359,771
Ward 3,3080,CANOSSA,1507,996,653
Ward 3,3120,CHAMBERY,1055,709,515
