WARD,Neighbourhood Number,Neighbourhood Name,Canadian Citizen,Permanent Resident,Refugee,Other,No Response,Month,Quarter,Year
WARD 1,3140,CRESTWOOD,2248,37,0,18,48,1,1,2016
WARD 1,3140,CRESTWOOD,2248,37,0,18,48,2,1,2016
WARD 1,3140,CRESTWOOD,2248,37,0,18,48,3,1,2016
WARD 1,3140,CRESTWOOD,2248,37,0,18,48,4,2,2016
WARD 1,3140,CRESTWOOD,2248,37,0,18,48,5,2,2016
WARD 1,3140,CRESTWOOD,2248,37,0,18,48,6,2,2016
WARD 1,3140,CRESTWOOD,2248,37,0,18,48,7,3,2016
WARD 1,3140,CRESTWOOD,2248,37,0,18,48,8,3,2016
WARD 1,3140,CRESTWOOD,2248,37,0,18,48,9,3,2016
WARD 1,3140,CRESTWOOD,2248,37,0,18,48,10,4,2016
WARD 1,3140,CRESTWOOD,2248,37,0,18,48,11,4,2016
WARD 1,3140,CRESTWOOD,2248,37,0,18,48,12,4,2016
WARD 1,3330,PARKVIEW,2571,67,1,21,625,1,1,2016
WARD 1,3330,PARKVIEW,2571,67,1,21,625,2,1,2016
WARD 1,3330,PARKVIEW,2571,67,1,21,625,3,1,2016
WARD 1,3330,PARKVIEW,2571,67,1,21,625,4,2,2016
WARD 1,3330,PARKVIEW,2571,67,1,21,625,5,2,2016
WARD 1,3330,PARKVIEW,2571,67,1,21,625,6,2,2016
WARD 1,3330,PARKVIEW,2571,67,1,21,625,7,3,2016
WARD 1,3330,PARKVIEW,2571,67,1,21,625,8,3,2016
WARD 1,3330,PARKVIEW,2571,67,1,21,625,9,3,2016
WARD 1,3330,PARKVIEW,2571,67,1,21,625,10,4,2016
WARD 1,3330,PARKVIEW,2571,67,1,21,625,11,4,2016
WARD 1,3330,PARKVIEW,2571,67,1,21,625,12,4,2016
WARD 8,6070,CLOVERDALE,587,17,0,5,306,1,1,2016
WARD 8,6070,CLOVERDALE,587,17,0,5,306,2,1,2016
WARD 8,6070,CLOVERDALE,587,17,0,5,306,3,1,2016
WARD 8,6070,CLOVERDALE,587,17,0,5,306,4,2,2016
WARD 8,6070,CLOVERDALE,587,17,0,5,306,5,2,2016
WARD 8,6070,CLOVERDALE,587,17,0,5,306,6,2,2016
WARD 8,6070,CLOVERDALE,587,17,0,5,306,7,3,2016
WARD 8,6070,CLOVERDALE,587,17,0,5,306,8,3,2016
WARD 8,6070,CLOVERDALE,587,17,0,5,306,9,3,2016
WARD 8,6070,CLOVERDALE,587,17,0,5,306,10,4,2016
WARD 8,6070,CLOVERDALE,587,17,0,5,306,11,4,2016
WARD 8,6070,CLOVERDALE,587,17,0,5,306,12,4,2016
WARD 10,5490,SWEET GRASS,1617,99,3,63,895,1,1,2016
WARD 10,5490,SWEET GRASS,1617,99,3,63,895,2,1,2016
WARD 10,5490,SWEET GRASS,1617,99,3,63,895,3,1,2016
WARD 10,5490,SWEET GRASS,1617,99,3,63,895,4,2,2016
WARD 10,5490,SWEET GRASS,1617,99,3,63,895,5,2,2016
WARD 10,5490,SWEET GRASS,1617,99,3,63,895,6,2,2016
WARD 10,5490,SWEET GRASS,1617,99,3,63,895,7,3,2016
WARD 10,5490,SWEET GRASS,1617,99,3,63,895,8,3,2016
WARD 10,5490,SWEET GRASS,1617,99,3,63,895,9,3,2016
WARD 10,5490,SWEET GRASS,1617,99,3,63,895,10,4,2016
WARD 10,5490,SWEET GRASS,1617,99,3,63,895,11,4,2016
WARD 10,5490,SWEET GRASS,1617,99,3,63,895,12,4,2016
WARD 7,2580,NORTHMOUNT,1649,156,4,9,1374,1,1,2016
WARD 7,2580,NORTHMOUNT,1649,156,4,9,1374,2,1,2016
WARD 7,2580,NORTHMOUNT,1649,156,4,9,1374,3,1,2016
WARD 7,2580,NORTHMOUNT,1649,156,4,9,1374,4,2,2016
WARD 7,2580,NORTHMOUNT,1649,156,4,9,1374,5,2,2016
WARD 7,2580,NORTHMOUNT,1649,156,4,9,1374,6,2,2016
WARD 7,2580,NORTHMOUNT,1649,156,4,9,1374,7,3,2016
WARD 7,2580,NORTHMOUNT,1649,156,4,9,1374,8,3,2016
WARD 7,2580,NORTHMOUNT,1649,156,4,9,1374,9,3,2016
WARD 7,2580,NORTHMOUNT,1649,156,4,9,1374,10,4,2016
WARD 7,2580,NORTHMOUNT,1649,156,4,9,1374,11,4,2016
WARD 7,2580,NORTHMOUNT,1649,156,4,9,1374,12,4,2016
WARD 5,4270,LYMBURN,4120,257,1,39,1275,1,1,2016
WARD 5,4270,LYMBURN,4120,257,1,39,1275,2,1,2016
WARD 5,4270,LYMBURN,4120,257,1,39,1275,3,1,2016
WARD 5,4270,LYMBURN,4120,257,1,39,1275,4,2,2016
WARD 5,4270,LYMBURN,4120,257,1,39,1275,5,2,2016
WARD 5,4270,LYMBURN,4120,257,1,39,1275,6,2,2016
WARD 5,4270,LYMBURN,4120,257,1,39,1275,7,3,2016
WARD 5,4270,LYMBURN,4120,257,1,39,1275,8,3,2016
WARD 5,4270,LYMBURN,4120,257,1,39,1275,9,3,2016
WARD 5,4270,LYMBURN,4120,257,1,39,1275,10,4,2016
WARD 5,4270,LYMBURN,4120,257,1,39,1275,11,4,2016
WARD 5,4270,LYMBURN,4120,257,1,39,1275,12,4,2016
WARD 6,1030,CENTRAL MCDOUGALL,2371,517,14,115,1894,1,1,2016
WARD 6,1030,CENTRAL MCDOUGALL,2371,517,14,115,1894,2,1,2016
WARD 6,1030,CENTRAL MCDOUGALL,2371,517,14,115,1894,3,1,2016
WARD 6,1030,CENTRAL MCDOUGALL,2371,517,14,115,1894,4,2,2016
WARD 6,1030,CENTRAL MCDOUGALL,2371,517,14,115,1894,5,2,2016
WARD 6,1030,CENTRAL MCDOUGALL,2371,517,14,115,1894,6,2,2016
WARD 6,1030,CENTRAL MCDOUGALL,2371,517,14,115,1894,7,3,2016
WARD 6,1030,CENTRAL MCDOUGALL,2371,517,14,115,1894,8,3,2016
WARD 6,1030,CENTRAL MCDOUGALL,2371,517,14,115,1894,9,3,2016
WARD 6,1030,CENTRAL MCDOUGALL,2371,517,14,115,1894,10,4,2016
WARD 6,1030,CENTRAL MCDOUGALL,2371,517,14,115,1894,11,4,2016
WARD 6,1030,CENTRAL MCDOUGALL,2371,517,14,115,1894,12,4,2016
WARD 2,3430,WELLINGTON,2040,179,9,32,870,1,1,2016
WARD 2,3430,WELLINGTON,2040,179,9,32,870,2,1,2016
WARD 2,3430,WELLINGTON,2040,179,9,32,870,3,1,2016
WARD 2,3430,WELLINGTON,2040,179,9,32,870,4,2,2016
WARD 2,3430,WELLINGTON,2040,179,9,32,870,5,2,2016
WARD 2,3430,WELLINGTON,2040,179,9,32,870,6,2,2016
WARD 2,3430,WELLINGTON,2040,179,9,32,870,7,3,2016
WARD 2,3430,WELLINGTON,2040,179,9,32,870,8,3,2016
WARD 2,3430,WELLINGTON,2040,179,9,32,870,9,3,2016
WARD 2,3430,WELLINGTON,2040,179,9,32,870,10,4,2016
WARD 2,3430,WELLINGTON,2040,179,9,32,870,11,4,2016
WARD 2,3430,WELLINGTON,2040,179,9,32,870,12,4,2016
WARD 9,5590,BLACKBURNE,1165,35,0,3,207,1,1,2016
WARD 9,5590,BLACKBURNE,1165,35,0,3,207,2,1,2016
WARD 9,5590,BLACKBURNE,1165,35,0,3,207,3,1,2016
WARD 9,5590,BLACKBURNE,1165,35,0,3,207,4,2,2016
WARD 9,5590,BLACKBURNE,1165,35,0,3,207,5,2,2016
WARD 9,5590,BLACKBURNE,1165,35,0,3,207,6,2,2016
WARD 9,5590,BLACKBURNE,1165,35,0,3,207,7,3,2016
WARD 9,5590,BLACKBURNE,1165,35,0,3,207,8,3,2016
WARD 9,5590,BLACKBURNE,1165,35,0,3,207,9,3,2016
WARD 9,5590,BLACKBURNE,1165,35,0,3,207,10,4,2016
WARD 9,5590,BLACKBURNE,1165,35,0,3,207,11,4,2016
WARD 9,5590,BLACKBURNE,1165,35,0,3,207,12,4,2016
WARD 1,4200,HIGH PARK,560,20,0,1,757,1,1,2016
WARD 1,4200,HIGH PARK,560,20,0,1,757,2,1,2016
WARD 1,4200,HIGH PARK,560,20,0,1,757,3,1,2016
WARD 1,4200,HIGH PARK,560,20,0,1,757,4,2,2016
WARD 1,4200,HIGH PARK,560,20,0,1,757,5,2,2016
WARD 1,4200,HIGH PARK,560,20,0,1,757,6,2,2016
WARD 1,4200,HIGH PARK,560,20,0,1,757,7,3,2016
WARD 1,4200,HIGH PARK,560,20,0,1,757,8,3,2016
WARD 1,4200,HIGH PARK,560,20,0,1,757,9,3,2016
WARD 1,4200,HIGH PARK,560,20,0,1,757,10,4,2016
WARD 1,4200,HIGH PARK,560,20,0,1,757,11,4,2016
WARD 1,4200,HIGH PARK,560,20,0,1,757,12,4,2016
WARD 9,5300,OGILVIE RIDGE,670,5,0,9,298,1,1,2016
WARD 9,5300,OGILVIE RIDGE,670,5,0,9,298,2,1,2016
WARD 9,5300,OGILVIE RIDGE,670,5,0,9,298,3,1,2016
WARD 9,5300,OGILVIE RIDGE,670,5,0,9,298,4,2,2016
WARD 9,5300,OGILVIE RIDGE,670,5,0,9,298,5,2,2016
WARD 9,5300,OGILVIE RIDGE,670,5,0,9,298,6,2,2016
WARD 9,5300,OGILVIE RIDGE,670,5,0,9,298,7,3,2016
WARD 9,5300,OGILVIE RIDGE,670,5,0,9,298,8,3,2016
WARD 9,5300,OGILVIE RIDGE,670,5,0,9,298,9,3,2016
WARD 9,5300,OGILVIE RIDGE,670,5,0,9,298,10,4,2016
WARD 9,5300,OGILVIE RIDGE,670,5,0,9,298,11,4,2016
WARD 9,5300,OGILVIE RIDGE,670,5,0,9,298,12,4,2016
WARD 5,4570,WEDGEWOOD HEIGHTS,858,22,0,5,546,1,1,2016
WARD 5,4570,WEDGEWOOD HEIGHTS,858,22,0,5,546,2,1,2016
WARD 5,4570,WEDGEWOOD HEIGHTS,858,22,0,5,546,3,1,2016
WARD 5,4570,WEDGEWOOD HEIGHTS,858,22,0,5,546,4,2,2016
WARD 5,4570,WEDGEWOOD HEIGHTS,858,22,0,5,546,5,2,2016
WARD 5,4570,WEDGEWOOD HEIGHTS,858,22,0,5,546,6,2,2016
WARD 5,4570,WEDGEWOOD HEIGHTS,858,22,0,5,546,7,3,2016
WARD 5,4570,WEDGEWOOD HEIGHTS,858,22,0,5,546,8,3,2016
WARD 5,4570,WEDGEWOOD HEIGHTS,858,22,0,5,546,9,3,2016
WARD 5,4570,WEDGEWOOD HEIGHTS,858,22,0,5,546,10,4,2016
WARD 5,4570,WEDGEWOOD HEIGHTS,858,22,0,5,546,11,4,2016
WARD 5,4570,WEDGEWOOD HEIGHTS,858,22,0,5,546,12,4,2016
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,1,1,2016
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,2,1,2016
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,3,1,2016
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,4,2,2016
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,5,2,2016
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,6,2,2016
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,7,3,2016
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,8,3,2016
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,9,3,2016
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,10,4,2016
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,11,4,2016
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,12,4,2016
WARD 9,5505,AMBLESIDE,3047,306,1,103,980,1,1,2016
WARD 9,5505,AMBLESIDE,3047,306,1,103,980,2,1,2016
WARD 9,5505,AMBLESIDE,3047,306,1,103,980,3,1,2016
WARD 9,5505,AMBLESIDE,3047,306,1,103,980,4,2,2016
WARD 9,5505,AMBLESIDE,3047,306,1,103,980,5,2,2016
WARD 9,5505,AMBLESIDE,3047,306,1,103,980,6,2,2016
WARD 9,5505,AMBLESIDE,3047,306,1,103,980,7,3,2016
WARD 9,5505,AMBLESIDE,3047,306,1,103,980,8,3,2016
WARD 9,5505,AMBLESIDE,3047,306,1,103,980,9,3,2016
WARD 9,5505,AMBLESIDE,3047,306,1,103,980,10,4,2016
WARD 9,5505,AMBLESIDE,3047,306,1,103,980,11,4,2016
WARD 9,5505,AMBLESIDE,3047,306,1,103,980,12,4,2016
WARD 5,3270,LAURIER HEIGHTS,2232,41,0,14,547,1,1,2016
