Ward,Neighbourhood Number,Neighbourhood Name,Preschool,Kindergarten - Gr.6,Gr.7 - Gr.9,Gr.10 - Gr.12,Post Secondary Student,Homemaker,Employed 0-30 Hours,Employed 30+ Hours,Unemployed,Retired,Permanently Unable to Work,No Response
WARD 1,3140,CRESTWOOD,80,168,59,51,92,43,132,757,50,475,2,442
WARD 1,3330,PARKVIEW,130,209,87,87,126,83,241,1049,93,476,12,692
WARD 9,5451,RICHFORD,21,39,13,18,33,15,42,256,26,141,2,152
WARD 9,5090,BROOKSIDE,75,124,45,42,48,42,114,394,35,248,15,855
WARD 12,6213,SUMMERSIDE,967,1157,348,273,307,398,491,4517,368,354,41,4139
WARD 6,3381,RIVER VALLEY GLENORA,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2080,BELVEDERE,189,227,98,93,99,115,209,1112,219,508,103,2197
WARD 11,6510,MILL WOODS PARK,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5460,SKYRATTLER,100,108,30,36,90,48,119,779,104,212,15,440
WARD 3,2700,SCHONSEE,199,275,97,87,87,105,154,1114,76,260,20,355
WARD 11,6670,SAKAW,165,297,149,133,97,118,232,1446,202,462,45,638
WARD 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2110,BRINTNELL,376,539,188,137,120,138,233,1843,132,158,23,2595
WARD 3,2260,EVANSDALE,332,400,158,122,97,199,257,1295,254,656,84,1950
WARD 1,4240,LA PERLE,210,288,132,113,129,149,272,1321,172,454,63,1544
WARD 5,4420,QUESNELL HEIGHTS,12,41,13,16,24,19,24,145,7,53,0,18
WARD 10,5020,ASPEN GARDENS,61,137,72,57,82,52,131,503,55,259,11,230
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,2461,CRYSTALLINA NERA EAST,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6661,CHARLESWORTH,376,401,109,103,127,177,177,1693,197,122,13,1967
WARD 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5280,MALMO PLAINS,183,187,61,54,266,75,123,769,100,318,13,1077
WARD 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3020,BARANOW,63,41,16,4,23,30,42,309,42,210,17,980
WARD 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,5580,WINDSOR PARK,20,46,15,14,88,21,68,321,18,156,0,2051
WARD 4,2350,HOMESTEADER,208,311,126,88,70,104,174,985,185,299,49,946
WARD 9,5467,CAVANAGH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,2463,CRYSTALLINA NERA WEST,24,16,12,5,3,10,16,126,9,6,0,682
WARD 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,3370,RAPPERSWILL,94,97,36,28,28,25,61,453,32,30,2,1141
WARD 1,4710,POTTER GREENS,33,73,48,57,66,28,96,503,31,322,4,229
WARD 5,4220,JAMIESON PLACE,73,139,70,57,98,60,166,855,67,301,13,1470
WARD 9,5350,RHATIGAN RIDGE,94,280,94,92,165,126,195,1065,62,737,8,159
WARD 1,4510,STONE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6443,TAMARACK,352,380,125,90,87,134,154,1325,135,101,8,1686
WARD 8,6730,TERRACE HEIGHTS,60,67,28,23,44,21,69,503,77,245,37,1250
WARD 1,4471,TRUMPETER AREA,93,63,15,11,9,40,36,433,17,34,5,300
WARD 11,6780,WEIR INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5360,RIDEAU PARK,45,68,29,36,51,19,95,474,94,423,235,412
WARD 9,5458,ALLARD,201,172,50,41,57,91,106,747,91,77,5,1495
WARD 11,6260,GIRARD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6410,MAPLE RIDGE,42,49,30,20,7,32,73,502,132,167,46,509
WARD 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6300,HILLVIEW,123,188,82,70,86,84,159,888,144,339,53,1116
WARD 4,2710,SIFTON PARK,66,95,30,21,25,26,59,337,85,110,28,1182
WARD 10,5260,LANSDOWNE,52,89,39,29,71,26,97,426,50,206,10,146
WARD 8,5200,GARNEAU,109,105,24,17,1621,60,268,1732,287,538,45,4984
WARD 10,5490,SWEET GRASS,89,163,98,60,101,72,103,765,75,298,12,841
WARD 1,4350,NORWESTER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,1080,DELTON,66,84,43,38,38,55,121,646,114,190,35,558
WARD 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6200,EKOTA,97,157,70,67,56,47,116,602,107,233,18,845
WARD 12,6444,LAUREL,363,406,177,130,116,163,211,1465,196,117,9,3698
WARD 2,4170,GARSIDE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2010,ABBOTTSFIELD,159,189,64,52,43,83,102,453,135,80,48,499
WARD 1,4580,WEST JASPER PLACE,85,80,32,38,41,89,139,770,148,268,40,1338
WARD 12,6770,WEINLOS,80,131,90,77,74,85,139,916,104,294,43,1275
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,3030,BATURYN,152,248,130,108,102,122,192,1339,170,531,52,1772
WARD 1,4200,HIGH PARK,17,18,22,17,14,21,38,223,41,155,14,758
WARD 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 6,1150,OLIVER,215,136,44,45,658,156,667,5465,554,2343,204,7636
WARD 7,2040,BEACON HEIGHTS,127,139,75,52,34,73,157,1021,248,421,70,470
WARD 9,5453,BLACKMUD CREEK,133,271,102,85,120,108,157,1029,75,240,11,432
WARD 12,6580,POLLARD MEADOWS,251,315,108,101,79,211,145,1154,143,294,44,1725
WARD 4,2430,KIRKNESS,216,281,98,115,102,104,217,1378,218,277,66,915
WARD 9,5640,TERWILLEGAR TOWNE,286,533,239,179,201,178,286,1830,100,555,18,1779
WARD 9,5454,RUTHERFORD,768,1006,300,231,332,367,524,3825,406,613,42,2429
WARD 9,5477,MACTAGGART,148,221,68,65,74,93,137,754,77,222,13,245
WARD 9,5080,BRANDER GARDENS,107,206,67,53,100,53,135,643,110,289,21,690
WARD 7,1130,ELMWOOD PARK,44,53,17,13,16,24,45,244,78,114,40,405
WARD 1,4060,BRITANNIA YOUNGSTOWN,156,159,65,55,69,70,192,1104,253,370,104,2142
WARD 9,5570,WINDERMERE,530,430,149,118,134,196,235,2254,160,281,23,3618
WARD 2,3050,BROWN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4463,RIVERVIEW AREA,12,37,19,15,16,14,32,133,7,44,2,115
WARD 3,3490,GOODRIDGE CORNERS,0,0,0,0,0,0,0,0,0,0,0,1690
WARD 8,6710,STRATHEARN,68,58,17,17,43,24,116,662,62,462,20,1093
WARD 6,1220,ROSSDALE,17,24,10,10,37,11,56,335,20,85,7,250
WARD 2,3010,ATHLONE,90,147,74,76,100,65,175,954,112,280,34,1051
WARD 3,2600,OZERNA,100,190,118,85,114,87,222,1056,121,332,37,1928
WARD 4,2521,MCCONACHIE AREA,424,291,98,83,56,142,112,1370,104,113,4,2144
WARD 2,1170,PRINCE RUPERT,17,9,5,7,36,9,57,480,82,147,10,433
WARD 2,3170,DOVERCOURT,86,125,39,31,22,36,118,782,94,254,26,502
WARD 1,4487,SECORD,238,204,62,42,31,271,103,1249,77,44,2,848
WARD 11,6195,SOUTH EDMONTON COMMON,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4340,MORIN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5250,KEHEEWIN,44,81,24,37,56,38,92,500,46,441,18,1125
WARD 1,4310,MEADOWLARK PARK,93,141,44,46,58,44,173,916,82,592,27,486
WARD 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0,0,0,0,0,0,0,0,0
