Ward,Neighbourhood Number,Neighbourhood Name,Car/Truck/Van (as Driver),Car/Truck/Van (as Passenger),Public Transit,Walk,Bicycle,Other,No Response
WARD 1,3140,CRESTWOOD,780,25,67,16,21,37,10
WARD 1,3330,PARKVIEW,1123,40,87,33,43,69,23
WARD 12,6580,POLLARD MEADOWS,998,102,169,35,5,26,16
WARD 11,6110,CPR IRVINE,50,3,13,9,1,1,0
WARD 1,4090,CANORA,543,49,147,40,7,14,13
WARD 2,3450,WOODCROFT,450,37,104,44,15,15,4
WARD 9,5462,CHAPPELLE AREA,711,16,81,3,1,19,46
WARD 12,6661,CHARLESWORTH,1596,90,196,8,1,73,9
WARD 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0,0,0,0
WARD 8,6710,STRATHEARN,556,42,100,41,26,18,22
WARD 3,2440,KLARVATTEN,1713,90,201,8,3,47,28
WARD 12,6790,WILD ROSE,2173,130,183,22,3,61,444
WARD 11,6720,TAWA,477,29,80,39,3,20,6
WARD 4,2390,KERNOHAN,819,45,136,27,2,20,17
WARD 2,3260,LAUDERDALE,457,31,78,15,6,12,22
WARD 2,3070,CALDER,825,68,157,40,7,13,16
WARD 6,3300,MCQUEEN,379,24,55,28,16,20,7
WARD 4,2120,CANON RIDGE,785,23,95,11,2,25,6
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0,0
WARD 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0,0
WARD 9,5590,BLACKBURNE,506,24,53,6,2,22,1
WARD 10,5540,WESTBROOK ESTATES,278,5,28,7,3,12,5
WARD 12,6390,LARKSPUR,1994,116,218,52,6,88,24
WARD 8,6180,EASTGATE BUSINESS PARK,0,0,0,0,0,0,0
WARD 4,2160,CLOVER BAR AREA,0,0,0,0,0,0,0
WARD 12,6440,MEADOWS AREA,0,0,0,0,0,0,0
WARD 9,5100,BULYEA HEIGHTS,539,25,75,6,5,35,12
WARD 7,2420,KILLARNEY,812,117,256,27,9,23,9
WARD 11,6410,MAPLE RIDGE,499,30,36,3,3,4,6
WARD 1,4487,SECORD,1189,47,77,5,2,21,43
WARD 2,3430,WELLINGTON,679,33,97,41,7,17,132
WARD 7,1010,ALBERTA AVENUE,1458,158,513,100,60,62,47
WARD 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0,0,0,0
WARD 1,4510,STONE INDUSTRIAL,0,0,0,0,0,0,0
