Ward,Neighbourhood Number,Neighbourhood Name,Public,Catholic,Francophone,No Response
WARD 1,3140,CRESTWOOD,1241,381,0,729
WARD 1,3330,PARKVIEW,1780,728,16,761
WARD 11,6250,GAINER INDUSTRIAL,223,71,10,105
WARD 7,2230,DELWOOD,1188,643,11,1471
WARD 1,4750,ROSENTHAL,240,184,2,1035
WARD 12,6770,WEINLOS,1554,317,9,1428
WARD 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0
WARD 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0
WARD 1,4740,WEBBER GREENS,687,308,3,1273
WARD 2,4023,ANTHONY HENDAY RAMPART,0,0,0,0
WARD 5,4390,PATRICIA HEIGHTS,709,183,10,823
WARD 12,6442,SILVER BERRY,2784,537,22,5658
WARD 4,2530,MCLEOD,945,465,0,816
WARD 10,5540,WESTBROOK ESTATES,420,85,0,576
WARD 3,2050,BELLE RIVE,1608,959,11,1156
WARD 9,5100,BULYEA HEIGHTS,1195,228,29,1987
WARD 9,5451,RICHFORD,509,109,3,137
WARD 1,4350,NORWESTER INDUSTRIAL,0,0,0,0
WARD 3,3190,ELSINORE,808,694,2,806
WARD 10,5030,BEARSPAW,1312,295,6,490
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0
WARD 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0
WARD 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0,0
WARD 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0
WARD 6,3381,RIVER VALLEY GLENORA,0,0,0,0
WARD 11,6640,ROPER INDUSTRIAL,0,0,0,0
WARD 11,6010,ARGYLL,298,60,0,419
WARD 7,1070,CROMDALE,673,204,5,1177
WARD 11,6720,TAWA,912,394,3,723
WARD 1,4630,WHITE INDUSTRIAL,0,0,0,0
WARD 9,5454,RUTHERFORD,6080,1858,49,2856
WARD 4,2270,EVERGREEN,640,86,1,777
WARD 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0,0
WARD 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0
WARD 1,4710,POTTER GREENS,805,321,8,356
WARD 9,5505,AMBLESIDE,2676,437,24,1300
WARD 5,4720,GLASTONBURY,2945,1243,31,2174
WARD 7,1080,DELTON,937,429,6,616
WARD 3,3080,CANOSSA,1364,887,7,1026
WARD 9,5452,MACEWAN,2513,929,15,2017
WARD 10,5250,KEHEEWIN,1007,236,17,1242
WARD 5,4360,OLESKIW,860,252,10,1680
WARD 7,2090,BERGMAN,714,292,12,535
WARD 9,5350,RHATIGAN RIDGE,2290,557,2,228
WARD 11,6460,MEYOKUMIN,1304,432,24,1260
WARD 6,1150,OLIVER,6733,1836,99,9455
WARD 1,4090,CANORA,786,300,20,2068
WARD 10,5070,BLUE QUILL ESTATES,744,217,4,254
WARD 11,6200,EKOTA,956,363,15,1081
WARD 9,5640,TERWILLEGAR TOWNE,3016,984,29,2155
WARD 8,5480,STRATHCONA,3772,624,84,4493
WARD 2,3090,CARLISLE,1591,815,24,1322
WARD 2,3410,SHERBROOKE,1039,458,13,1083
WARD 1,4487,SECORD,1689,443,21,1018
WARD 4,2320,HAIRSINE,1182,590,10,652
WARD 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0
WARD 10,5210,GRANDVIEW HEIGHTS,692,101,1,345
WARD 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0
WARD 5,4380,ORMSBY PLACE,2295,809,18,2242
WARD 12,6140,CRAWFORD PLAINS,2534,660,10,1075
WARD 4,2280,FRASER,1679,517,23,1270
WARD 9,5620,HODGSON,1565,461,16,672
WARD 1,4473,HAWKS RIDGE,240,39,1,128
WARD 12,6660,RURAL SOUTH EAST,116,29,1,22
WARD 5,3270,LAURIER HEIGHTS,1653,512,7,662
WARD 4,2710,SIFTON PARK,318,99,4,1643
WARD 4,2030,BANNERMAN,1964,645,18,402
WARD 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0
WARD 1,4640,WILSON INDUSTRIAL,0,0,0,0
WARD 8,6320,IDYLWYLDE,621,164,31,1006
WARD 11,6290,HAZELDEAN,1646,453,16,1158
WARD 10,5270,LENDRUM PLACE,821,143,13,743
WARD 9,5575,WINDERMERE AREA,0,0,0,0
WARD 12,6216,THE ORCHARDS AT ELLERSLIE,613,197,20,1233
WARD 3,2260,EVANSDALE,2480,913,20,2391
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0
WARD 1,4060,BRITANNIA YOUNGSTOWN,1759,466,44,2470
WARD 8,6730,TERRACE HEIGHTS,934,193,17,1280
WARD 6,3200,GLENORA,1780,480,27,1226
WARD 3,2450,LAGO LINDO,1510,842,11,1570
WARD 7,2020,BALWIN,1332,535,15,1940
WARD 9,5465,HAYS RIDGE AREA,74,37,0,49
WARD 6,1090,DOWNTOWN,3703,807,68,8190
WARD 11,6400,LEE RIDGE,929,211,6,1566
WARD 7,1120,EDMONTON NORTHLANDS,0,0,0,0
WARD 7,2650,RIVER VALLEY RUNDLE,0,0,0,0
WARD 3,3180,DUNLUCE,2392,1112,38,2781
WARD 3,2461,CRYSTALLINA NERA EAST,0,0,0,0
WARD 9,5511,TWIN BROOKS,4046,720,15,1484
WARD 9,5642,SOUTH TERWILLEGAR,3998,1321,54,3204
WARD 9,5630,LEGER,1032,454,5,971
WARD 8,6061,CAPILANO,1209,393,15,917
