Ward,Neighbourhood Number,Neighbourhood Name,Canadian Citizen,Permanent Resident,Refugee,Other,No Response
WARD 1,3140,CRESTWOOD,2248,37,0,18,48
WARD 1,3330,PARKVIEW,2571,67,1,21,625
WARD 8,6070,CLOVERDALE,587,17,0,5,306
WARD 10,5490,SWEET GRASS,1617,99,3,63,895
WARD 7,2580,NORTHMOUNT,1649,156,4,9,1374
WARD 5,4270,LYMBURN,4120,257,1,39,1275
WARD 6,1030,CENTRAL MCDOUGALL,2371,517,14,115,1894
WARD 2,3430,WELLINGTON,2040,179,9,32,870
WARD 9,5590,BLACKBURNE,1165,35,0,3,207
WARD 1,4200,HIGH PARK,560,20,0,1,757
WARD 9,5300,OGILVIE RIDGE,670,5,0,9,298
WARD 5,4570,WEDGEWOOD HEIGHTS,858,22,0,5,546
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0
WARD 9,5505,AMBLESIDE,3047,306,1,103,980
WARD 5,3270,LAURIER HEIGHTS,2232,41,0,14,547
WARD 1,4540,TERRA LOSA,1460,117,0,28,618
WARD 11,6680,SATOO,2280,134,5,22,841
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0
WARD 11,6470,MEYONOHK,1468,127,0,3,1262
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0
WARD 5,4420,QUESNELL HEIGHTS,343,6,0,3,20
WARD 10,5540,WESTBROOK ESTATES,656,81,0,24,320
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,100
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0
WARD 5,4120,DONSDALE,1009,20,1,6,438
WARD 5,4463,RIVERVIEW AREA,322,6,0,1,117
WARD 4,2080,BELVEDERE,2692,222,5,33,2217
WARD 4,2030,BANNERMAN,2503,199,3,15,309
WARD 9,5457,CALLAGHAN,2337,163,8,42,1009
WARD 9,5100,BULYEA HEIGHTS,1454,43,0,10,1932
WARD 7,2560,NEWTON,1961,80,3,18,754
WARD 4,2145,CLAREVIEW TOWN CENTRE,1706,351,4,67,1207
WARD 11,6670,SAKAW,3099,211,1,26,647
WARD 12,6580,POLLARD MEADOWS,2477,340,5,94,1654
WARD 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0,0
WARD 2,3111,GRIESBACH,2537,160,7,18,1992
WARD 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0,0
WARD 10,5020,ASPEN GARDENS,1337,57,1,31,224
WARD 12,6030,BISSET,2354,457,3,138,994
WARD 7,2040,BEACON HEIGHTS,2303,145,1,18,420
WARD 1,4640,WILSON INDUSTRIAL,0,0,0,0,0
WARD 9,5570,WINDERMERE,4944,339,1,97,2747
WARD 6,1180,QUEEN MARY PARK,3374,797,30,162,2583
WARD 10,5270,LENDRUM PLACE,1087,71,0,38,524
WARD 9,5462,CHAPPELLE AREA,1266,131,3,5,2908
WARD 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0,0
WARD 6,1090,DOWNTOWN,5366,492,6,689,6215
WARD 5,4610,WESTRIDGE,1031,22,0,10,292
WARD 4,2251,EBBERS,57,49,0,3,16
WARD 11,6280,GREENVIEW,1808,134,1,17,683
WARD 12,6150,DALY GROVE,2159,176,2,50,1049
WARD 11,6760,TWEDDLE PLACE,1654,322,2,52,1254
WARD 5,4551,GRANVILLE,939,121,0,7,502
WARD 3,3490,GOODRIDGE CORNERS,0,0,0,0,1690
WARD 9,5463,DESROCHERS AREA,0,0,0,0,0
WARD 2,3070,CALDER,2171,130,13,16,1674
WARD 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0,0
WARD 11,6610,RITCHIE,2948,135,1,51,844
WARD 9,5090,BROOKSIDE,1144,39,1,14,839
WARD 7,2650,RIVER VALLEY RUNDLE,0,0,0,0,0
WARD 4,2670,RURAL NORTH EAST HORSE HILL,70,1,0,0,524
WARD 11,6640,ROPER INDUSTRIAL,0,0,0,0,0
WARD 11,6100,CORONET INDUSTRIAL,0,0,0,0,0
WARD 1,4240,LA PERLE,3038,276,6,39,1488
WARD 1,4060,BRITANNIA YOUNGSTOWN,2375,343,15,77,1929
WARD 9,5468,GRAYDON HILL,50,17,0,0,62
WARD 4,2320,HAIRSINE,1732,113,3,23,563
WARD 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0,0
WARD 12,6330,JACKSON HEIGHTS,2099,167,1,18,1692
WARD 9,5576,KESWICK AREA,435,57,1,11,85
WARD 7,1080,DELTON,1365,62,0,11,550
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0
WARD 2,3170,DOVERCOURT,1552,68,3,31,461
WARD 1,4474,STARLING,288,5,0,0,361
WARD 8,6240,FULTON PLACE,1339,33,0,4,625
WARD 12,6441,MAPLE,723,102,0,7,317
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0
WARD 11,6250,GAINER INDUSTRIAL,311,11,0,8,79
WARD 2,3350,PRINCE CHARLES,542,41,0,6,692
WARD 10,5220,GREENFIELD,2596,88,1,15,987
WARD 4,2160,CLOVER BAR AREA,6,0,0,0,53
WARD 7,2010,ABBOTTSFIELD,1139,187,13,29,539
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0
WARD 10,5180,ERMINESKIN,3041,586,6,161,1447
WARD 12,6790,WILD ROSE,4877,527,10,69,3130
WARD 1,4500,SHERWOOD,801,160,0,15,362
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0
WARD 8,6710,STRATHEARN,1564,42,1,11,1024
WARD 7,2020,BALWIN,2344,235,9,41,1193
WARD 1,4590,WEST MEADOWLARK PARK,1346,114,3,24,1787
WARD 4,2340,HOLLICK-KENYON,4338,285,4,57,1452
WARD 8,5330,QUEEN ALEXANDRA,2952,228,4,246,1728
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0
WARD 7,1160,PARKDALE,1792,170,4,42,1324
WARD 5,4110,DECHENE,1186,27,0,5,414
WARD 7,2400,KILDARE,1695,80,0,12,915
WARD 11,6110,CPR IRVINE,79,6,0,18,63
WARD 4,2611,CY BECKER,164,57,1,7,454
WARD 4,2720,YORK,2773,272,4,46,806
WARD 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0
WARD 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0,0
WARD 4,2350,HOMESTEADER,2386,193,21,36,909
WARD 11,6290,HAZELDEAN,2372,51,0,16,834
WARD 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0,0
WARD 2,3460,ALBANY,783,89,0,26,385
WARD 2,3260,LAUDERDALE,1462,138,12,7,1290
WARD 1,4130,EDMISTON INDUSTRIAL,0,0,0,0,0
WARD 2,1250,WESTWOOD,1599,182,5,79,1252
WARD 12,6440,MEADOWS AREA,0,0,0,0,0
WARD 7,2100,BEVERLY HEIGHTS,2401,100,1,8,674
WARD 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0,0
WARD 10,5210,GRANDVIEW HEIGHTS,821,19,1,11,287
WARD 7,1240,VIRGINIA PARK,494,7,0,3,227
WARD 1,4710,POTTER GREENS,1237,28,0,5,220
WARD 1,4471,TRUMPETER AREA,719,33,0,2,302
WARD 11,6480,MICHAELS PARK,1228,92,0,19,881
WARD 2,3020,BARANOW,776,89,3,8,901
WARD 11,6750,TIPASKAN,1722,496,11,106,625
WARD 8,6730,TERRACE HEIGHTS,1173,62,0,15,1174
WARD 1,4020,ALDERGROVE,3451,411,10,95,1013
WARD 1,4740,WEBBER GREENS,863,157,0,13,1238
WARD 6,3200,GLENORA,2377,51,2,21,1062
WARD 11,6300,HILLVIEW,2048,154,1,29,1100
WARD 1,4580,WEST JASPER PLACE,1397,274,3,43,1351
WARD 9,5476,MAGRATH HEIGHTS,2272,188,1,35,961
WARD 9,5630,LEGER,1425,120,1,11,905
WARD 1,4340,MORIN INDUSTRIAL,0,0,0,0,0
WARD 2,3320,OXFORD,2848,150,4,9,1027
WARD 12,6140,CRAWFORD PLAINS,2998,248,0,67,966
WARD 8,6380,LAMBTON INDUSTRIAL,0,0,0,0,237
WARD 1,4630,WHITE INDUSTRIAL,0,0,0,0,0
WARD 4,2430,KIRKNESS,2773,270,11,36,897
WARD 9,5190,FALCONER HEIGHTS,1181,38,0,4,744
WARD 5,4070,CALLINGWOOD NORTH,1518,293,1,64,500
WARD 11,6400,LEE RIDGE,1094,81,1,5,1531
