Ward,Neighbourhood Number,Neighbourhood Name,Married,Common Law,Separated/Divorced,Never Married,Widowed,No Response
WARD 1,3140,CRESTWOOD,1094,40,88,567,84,478
WARD 1,3330,PARKVIEW,1326,128,131,934,98,668
WARD 9,5452,MACEWAN,1747,250,230,1702,110,1435
WARD 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0,0,0
WARD 2,3050,BROWN INDUSTRIAL,0,0,0,0,0,0
WARD 5,4560,THORNCLIFF,765,171,148,1035,93,1342
WARD 9,5511,TWIN BROOKS,2730,137,181,1828,151,1238
WARD 9,5130,CARTER CREST,693,29,39,399,27,435
WARD 2,3350,PRINCE CHARLES,181,54,58,256,32,700
WARD 10,5270,LENDRUM PLACE,556,63,71,431,56,543
WARD 5,4120,DONSDALE,569,35,28,348,30,464
WARD 1,4040,BELMEAD,1327,133,201,1248,112,1604
WARD 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0,0,0
WARD 10,5280,MALMO PLAINS,1066,53,90,848,85,1084
WARD 11,6250,GAINER INDUSTRIAL,105,50,22,137,16,79
WARD 5,4070,CALLINGWOOD NORTH,615,144,165,896,61,495
WARD 4,2120,CANON RIDGE,580,143,142,741,55,486
WARD 1,4590,WEST MEADOWLARK PARK,546,126,123,655,71,1753
WARD 4,2350,HOMESTEADER,866,191,161,1303,98,926
WARD 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0,0,0
WARD 9,5340,RAMSAY HEIGHTS,1463,126,172,1120,80,428
WARD 4,2270,EVERGREEN,280,100,96,289,48,691
WARD 3,3080,CANOSSA,1101,114,96,1039,32,902
WARD 3,2410,KILKENNY,1377,182,242,1360,133,2313
WARD 5,4220,JAMIESON PLACE,1030,63,77,659,77,1463
WARD 5,4720,GLASTONBURY,2044,259,235,1832,194,1829
WARD 7,2400,KILDARE,683,96,170,653,161,939
WARD 10,5220,GREENFIELD,1411,94,144,967,108,963
WARD 1,4473,HAWKS RIDGE,177,28,5,74,4,120
WARD 10,5250,KEHEEWIN,671,51,95,426,112,1147
WARD 10,5210,GRANDVIEW HEIGHTS,452,18,23,318,31,297
WARD 4,2710,SIFTON PARK,349,46,62,411,24,1172
WARD 7,2060,BELLEVUE,223,65,74,255,21,363
WARD 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0
WARD 12,6530,MINCHAU,579,55,60,430,21,1986
WARD 11,6340,KAMEYOSEK,706,52,73,813,168,591
WARD 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0,0,0
WARD 4,2110,BRINTNELL,1711,288,112,1839,75,2457
WARD 5,3382,RIVER VALLEY LAURIER,0,0,0,0,0,0
WARD 11,6480,MICHAELS PARK,627,48,63,485,50,947
WARD 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0,0,0
WARD 8,6310,HOLYROOD,757,159,162,749,87,1505
WARD 3,3120,CHAMBERY,678,34,32,574,14,1281
WARD 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0,0,0
WARD 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0
WARD 11,6300,HILLVIEW,992,111,143,919,62,1105
