Neighbourhood Name,Neighbourhood Number,Civic Ward Name
Abbottsfield,2010,
Albany,3460,
Alberta Avenue,1010,
Alberta Park Industrial,4010,
Aldergrove,4020,
Allard,5458,
Allendale,5010,
Ambleside,5505,
Anthony Henday,4011,
Anthony Henday Big Lake,4018,
Anthony Henday Castledowns,4016,
Anthony Henday Clareview,4022,
Anthony Henday Energy Park,4019,
Anthony Henday Horse Hill,4021,
Anthony Henday Lake District,4017,
Anthony Henday Mistatim,4015,
Anthony Henday Rampart,4023,
Anthony Henday South,4014,
Anthony Henday South West,4012,
Anthony Henday Southeast,6665,
Anthony Henday Terwillegar,4013,
Argyll,6010,
Armstrong Industrial,4030,
Aspen Gardens,5020,
Athlone,3010,
Avonmore,6020,
Balwin,2020,
Bannerman,2030,
Baranow,3020,
Baturyn,3030,
Beacon Heights,2040,
Bearspaw,5030,
Beaumaris,3040,
Belgravia,5040,
Belle Rive,2050,
Bellevue,2060,
Belmead,4040,
Belmont,2070,
Belvedere,2080,
Bergman,2090,
Beverly Heights,2100,
Bisset,6030,
Blackburne,5590,
Blackmud Creek,5453,
Blackmud Creek Ravine,5050,
Blue Quill,5060,
Blue Quill Estates,5070,
Bonaventure Industrial,4050,
Bonnie Doon,6040,
Boyle Street,1020,
Brander Gardens,5080,
Breckenridge Greens,4700,
Brintnell,2110,
Britannia Youngstown,4060,
Brookside,5090,
Brown Industrial,3050,
Bulyea Heights,5100,
Caernarvon,3060,
Calder,3070,
Calgary Trail North,5110,
Calgary Trail South,5120,
Callaghan,5457,
Callingwood North,4070,
Callingwood South,4080,
Cameron Heights,4466,
Canon Ridge,2120,
Canora,4090,
Canossa,3080,
Capilano,6061,
Carleton Square Industrial,4100,
Carlisle,3090,
Carlton,3470,
Carter Crest,5130,
Cashman,5466,
Casselman,2130,
Central McDougall,1030,
Chambery,3120,
Chappelle Area,5462,
Charlesworth,6661,
Clareview Town Centre,2145,
Clover Bar Area,2160,
Cloverdale,6070,
Coronet Addition Industrial,6090,
Coronet Industrial,6100,
CPR Irvine,6110,
Crawford Plains,6140,
Crestwood,3140,
Cromdale,1070,
Crystallina Nera,2210,
Crystallina Nera East,2462,
Cumberland,3150,
Cy Becker,2611,
Daly Grove,6150,
Davies Industrial East,6160,
Davies Industrial West,6170,
Dechene,4110,
Delton,1080,
Delwood,2230,
Desrochers Area,5463,
Dominion Industrial,3160,
Donsdale,4120,
Dovercourt,3170,
Downtown,1090,
Duggan,5160,
Dunluce,3180,
Eastgate Business Park,6180,
Eastwood,1100,
Eaux Claires,2241,
Ebbers,2251,
Edgemont,4462,
Edmiston Industrial,4130,
Edmonton Municipal Airport,1110,
Edmonton Northlands,1120,
Edmonton Research and Development Park,6190,
Ekota,6200,
Ellerslie,6211,
Ellerslie Industrial,6214,
Elmwood,4140,
Elmwood Park,1130,
Elsinore,3190,
Empire Park,5170,
Ermineskin,5180,
Evansdale,2260,
Evergreen,2270,
Falconer Heights,5190,
Forest Heights,6230,
Fraser,2280,
Fulton Place,6240,
Gagnon Estate Industrial,4150,
Gainer Industrial,6250,
Gariepy,4160,
Garneau,5200,
Garside Industrial,4170,
Girard Industrial,6260,
Glastonbury,4720,
Glengarry,2290,
Glenora,3200,
Glenridding Area,5577,
Glenwood,4180,
Gold Bar,6270,
Goodridge Corners,3490,
Gorman,2311,
Grandview Heights,5210,
Granville,4551,
Greenfield,5220,
Greenview,6280,
Griesbach,3111,
Grovenor,3210,
