City_or_Region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Burnaby, BC",191.78,183.78,167.35,163.63,160.83,166.97,175.16,150.79,152,135.41,120.5,121.87,101.23,92.57,90.11,78.85,86.32,86.95
"Calgary, AB",120.26,115.41,104.21,104.46,101.74,106.21,99.55,99.5,97.64,92.94,85.17,81.38,77.37,65.19,60.74,60.22,60.1,77.32
"Durham Region, ON",78.01,70.45,69.22,77.35,72.07,72.3,70.15,67.68,69.79,68.29,65.99,60.86,51.87,47.87,45.12,40.7,38.38,37.93
"Edmonton, AB",150.57,144.97,140.9,148.04,154.1,167.89,169.03,164.28,148.78,145.62,139.23,129.35,111.29,96.02,91.98,93.96,97.36,111.73
"Gatineau, QB",,,,,95.59,98.23,93.54,95.03,91.36,84.37,79.51,77.15,70.96,66.18,68.13,59.51,59.82,56.71
"Halifax Region, NS",,,,,,,,,,,96.67,98.22,97.77,88.53,75.5,68.31,65.76,62.8
"Halton Region, ON",52.69,50.22,49.51,53.4,51.52,51.76,45.72,46.6,44.94,43.76,41.43,36.79,37.24,33.98,28.4,25.46,24.14,22.94
"Hamilton, ON",115.13,116.37,109.17,116.01,110.9,107.66,93.38,96.34,97.2,96.95,88.95,86.47,82.66,74.66,71.83,64.73,59.8,59.78
"Laval, QB",116.63,104.48,96.42,88.53,84.02,90.06,87.51,84.33,83.43,77.41,71.39,71.88,68.93,68.55,60.06,57,52.43,50.86
"London, ON",105.63,112.28,114.08,110.65,107.15,107.31,100.06,104.74,115.28,99.19,95.25,98.92,93.7,92.21,84.18,76.23,74.39,74.83
"Longueuil, QB",,,,,105.04,98.31,101.33,98.73,92.21,92.43,92.69,83.38,78,76.79,70.83,65.1,58.92,56.72
"Montreal, QB",172.98,162.07,155.41,141.47,133.49,131.25,127.85,128.93,129.45,115.58,113.59,112.89,102.61,98.58,92.18,78.88,72.66,71.9
"Niagara Region, ON",107.59,101.43,92.72,97.93,99.31,92.15,79.04,83.13,84.73,79.92,80.09,75.97,70,61.06,63.88,57.24,50.98,51.97
"Ottawa, ON",0,96.68,84.94,86.18,87.96,90.7,82.36,84.53,83.42,77.03,70.2,68.09,61.34,58.71,58.76,49.39,45.18,47
"Peel Region, ON",72.67,65.66,65.2,67,64.87,61.84,58.86,54.31,58.53,61.16,59.68,57.22,52.23,52.36,48.2,42.28,40.78,41.99
"Quebec, QB",117.21,110.45,120.97,98.65,82,81.03,78.24,79.92,82.08,72.94,70.77,67.26,60.49,57.14,56.18,51.13,48.97,46.72
"Regina, SK",240.39,226.92,219.31,241.16,216.14,235.07,242.14,216.34,207.82,198.32,173.88,151.22,139.67,129.63,121.54,110.65,108.1,113.33
"Saskatoon, SK",192.75,188.66,201.57,206.45,203.99,247.36,213.67,208.19,187.02,179.55,155.62,150.33,144.52,126.48,119.55,110.31,119.45,121.19
"Surrey, BC",186.96,172.01,171.26,186.6,170.29,173.34,163.9,168.24,152.61,151.22,140.39,133.28,124.46,120.18,115.9,113.52,126.19,128.16
"Toronto, ON",115.94,100.72,96.44,97.19,96.27,95.47,85.99,90.17,92.14,87.57,82.53,79.72,74.96,68.52,65.5,58.48,55.69,56.4
"Vancouver, BC",263.63,240.4,214.48,205.82,195.9,193.7,196.35,170.95,170.07,157.53,145.68,128.54,117.5,110.29,108.18,105.3,106.07,108.84
"Waterloo Region, ON",100.38,92.62,86.74,80.14,80.82,77.99,83.66,77.9,79.4,71.1,68.78,74.26,68.39,63.73,59.1,57.13,55.41,59.51
"Windsor, ON",120.64,103.71,107.32,104.65,105.49,120.86,134.3,112.56,116.31,106.02,98.82,93.19,86.64,81.6,89.76,81.81,77.59,82.44
"Winnipeg, MB",165.95,159.66,164.47,167.93,158.34,172.64,179.19,172.16,177.62,164.66,135.05,148.62,126.87,110.79,104.81,88.36,85.69,92.76
"York Region, ON",63.92,64.51,63.44,66.73,67.39,66.36,59.76,52.97,51.27,47.22,45.03,44.49,42.72,38.78,35.74,32.45,30.72,33.19
