SCHOOL_NAME,ADDRESS,POSTAL_CODE,WARD,WEBSITE,PHONE_NUMBER,FAX_NUMBER,EMAIL_ADDRESS,GRADE_LEVEL,PROGRAMS,AB_SCHOOL_NUMBER,GRADES_OFFERED,LATITUDE,LONGITUDE,LOCATION
Abbott,12045 34 Street NW,T5W1Z5,D,http://abbott.epsb.ca,7804777310,7804715281,abbott@epsb.ca,Elementary,"Regular Program (K-6), Strategies (2-6)",7100,Kindergarten to Grade 6,53.574607399999998,-113.3936641,"(53.5746074, -113.3936641)"
A. Blair McPherson,430 Tamarack Green NW,T6T0J4,G,http://ablairmcpherson.epsb.ca,7804684361,7804684396,ablairmcpherson@epsb.ca,"Elementary, Junior",Regular Program (K-9),1458,Kindergarten to Grade 9,53.469872000000002,-113.362193,"(53.469872, -113.362193)"
Academy at King Edward,8525 101 Street NW,T6E3Z4,G,http://kingedward.epsb.ca,7804391368,7804398432,academy@epsb.ca,"Elementary, Junior, Senior",Strategies (2-12),18,Grade 2 to Grade 12,53.521497099999998,-113.4912456,"(53.5214971, -113.4912456)"
Afton,16604 91 Avenue NW,T5R5A4,C,http://afton.epsb.ca,7804843263,7804861791,afton@epsb.ca,Elementary,Arts Core (K-6),7192,Kindergarten to Grade 6,53.526130899999998,-113.6074899,"(53.5261309, -113.6074899)"
Alberta School for the Deaf,6240 113 Street NW,T6H3L2,F,http://asd.epsb.ca,7804393323,7804360385,abschdeaf@epsb.ca,"Elementary, Junior, Senior","American Sign Language Bilingual (1-12), Deaf or Hard of Hearing (1-12)",7730,Grade 1 to Grade 12,53.500921699999999,-113.52341079999999,"(53.5009217, -113.5234108)"
Aldergrove,8525 182 Street NW,T5T1X1,E,http://aldergrove.epsb.ca,7804875182,7804812166,aldergrove@epsb.ca,Elementary,"Regular Program (K-6), Behaviour & Learning Assistance (1-6)",7234,Kindergarten to Grade 6,53.519264,-113.63694769999999,"(53.519264, -113.6369477)"
Allendale,6415 106 Street NW,T6H2V5,F,http://allendale.epsb.ca,7804346756,7809888693,allendale@epsb.ca,Junior,"Regular Program (7-9), Cogito (7-9), German Bilingual (7-9), Interactions (7-9)",7500,Grade 7 to Grade 9,53.501204600000001,-113.5043896,"(53.5012046, -113.5043896)"
amiskwaciy Academy,101 Airport Road NW,T5G3K2,D,http://amiskwaciy.epsb.ca,7804241270,7804241284,amiskwaciy@epsb.ca,"Junior, Senior",amiskwaciy Academy (7-12),484,Grade 7 to Grade 12,53.568830800000001,-113.52135509999999,"(53.5688308, -113.5213551)"
Argyll Centre,6859 100 Avenue NW,T6A0G3,G,http://argyll.epsb.ca,7804651299,7804651328,agryll@epsb.ca,"Elementary, Junior, Senior","Caraway (K-9), LearnNet (1-12)",349,Kindergarten to Grade 12,53.539950179999998,-113.4345284,"(53.53995018, -113.4345284)"
Athlone,12940 129 Street NW,T5L1J3,A,http://athlone.epsb.ca,7804555823,7804556469,athlone@epsb.ca,Elementary,"Regular Program (K-6), Behaviour & Learning Assistance (1-6)",7104,Kindergarten to Grade 6,53.588071100000001,-113.5442717,"(53.5880711, -113.5442717)"
Avalon,5425 114 Street NW,T6H3M1,F,http://avalon.epsb.ca,7804348402,7804357623,avalon@epsb.ca,Junior,"Regular Program (7-9), Behaviour and Learning Assistance (7-9), French Immersion (7-9)",7550,Grade 7 to Grade 9,53.491482499999996,-113.52460309999999,"(53.4914825, -113.5246031)"
Avonmore,7835 76 Avenue NW,T6C2N1,G,http://avonmore.epsb.ca,7804662976,7804653614,avonmore@epsb.ca,"Elementary, Junior","Regular Program (K-6), Community Learning Skills (1-6), Community Learning Skills/Behaviour & Learning Assistance (1-6), Nellie McClung (7-9)",7501,Kindergarten to Grade 6,53.512255099999997,-113.44928419999999,"(53.5122551, -113.4492842)"
Balwin,7055 132 Avenue NW,T5C2A7,B,http://balwin.epsb.ca,7804753646,7804789889,balwin@epsb.ca,"Elementary, Junior","Regular Program (K-9), Early Learning (Ages 3.5-4.5), Interactions (7-9), Literacy (7-9), Opportunity (1-9), Transition Centre (K-9)",7502,Kindergarten to Grade 9,53.592244999999998,-113.4506246,"(53.592245, -113.4506246)"
Bannerman,14112 23 Street NW,T5Y2B9,B,http://bannerman.epsb.ca,7804787706,7804578090,bannerman@epsb.ca,"Elementary, Junior","Regular Program (K-6), Nellie McClung (7-9), Strategies (4-6)",7253,Kindergarten to Grade 6,53.604792799999998,-113.3778348,"(53.6047928, -113.3778348)"
Baturyn,10603 172 Avenue NW,T5X4X4,A,http://baturyn.epsb.ca,7804566727,7804574337,baturyn@epsb.ca,Elementary,"Regular Program (K-6), Strategies (4-6)",7247,Kindergarten to Grade 6,53.633422099999997,-113.506254,"(53.6334221, -113.506254)"
Beacon Heights,4610 121 Avenue NW,T5W1M8,D,http://beaconheights.epsb.ca,7804794038,7804710896,beacon@epsb.ca,Elementary,"Regular Program (K-6), Early Education (Ages 2.5-4.5)",7106,Kindergarten to Grade 6,53.575100399999997,-113.4114756,"(53.5751004, -113.4114756)"
Belgravia,11605 74 Avenue NW,T6G0G1,F,http://belgravia.epsb.ca,7804355560,7804369137,belgravia@epsb.ca,Elementary,Regular Program (K-6),7107,Kindergarten to Grade 6,53.510350600000002,-113.5314501,"(53.5103506, -113.5314501)"
Belmead,9011 182 Street NW,T5T2Y9,E,http://belmead.epsb.ca,7804813314,7804878189,belmead@epsb.ca,Elementary,"Regular Program (K-6), Interactions (1-6)",7236,Kindergarten to Grade 6,53.525109399999998,-113.6386863,"(53.5251094, -113.6386863)"
Belmont,3310 132A Avenue NW,T5A3T1,B,http://belmont.epsb.ca,7804769590,7804480371,belmont@epsb.ca,Elementary,"Regular Program (K-6), Logos Christian (K-6)",7228,Kindergarten to Grade 6,53.592847900000002,-113.3931517,"(53.5928479, -113.3931517)"
Belvedere,13359 62 Street NW,T5A0V5,B,http://belvedere.epsb.ca,7804762022,7804784088,belvedere@epsb.ca,Elementary,Regular Program (K-6),7109,Kindergarten to Grade 6,53.594809300000001,-113.4366618,"(53.5948093, -113.4366618)"
Bessie Nichols,189 Hemingway Road NW,T6M2Z7,E,http://bessienichols.epsb.ca,7804441922,7804810726,bessienichols@epsb.ca,"Elementary, Junior",Regular Program (K-9),1577,Kindergarten to Grade 9,53.487096800000003,-113.6717167,"(53.4870968, -113.6717167)"
Bisset,3020 37 Street NW,T6L5X1,I,http://bisset.epsb.ca,7804506536,7804611703,bisset@epsb.ca,Elementary,Regular Program (K-6),7276,Kindergarten to Grade 6,53.460382600000003,-113.39800099999999,"(53.4603826, -113.398001)"
Braemar,9359 67A Street NW,T6B1R7,G,http://braemar.epsb.ca,7804683000,7804684949,braemar@epsb.ca,"Junior, Senior",Pregnant & Parenting Teens (7-12),7704,Special,53.530954000000001,-113.4314571,"(53.530954, -113.4314571)"
Brander Gardens,14865 56 Avenue NW,T6H5G2,F,http://brandergardens.epsb.ca,7804366740,7804480359,brander@epsb.ca,Elementary,"Regular Program (K-6), French Immersion (K-6)",7226,Kindergarten to Grade 6,53.493484000000002,-113.577079,"(53.493484, -113.577079)"
Brightview,15425 106 Avenue NW,T5P0W3,C,http://brightview.epsb.ca,7804846631,7804893802,brightview@epsb.ca,Elementary,"Regular Program (K-6), Behaviour & Learning Assistance (1-6), Opportunity (1-6)",7504,Kindergarten to Grade 6,53.549499300000001,-113.58728410000001,"(53.5494993, -113.5872841)"
Britannia,16018 104 Avenue NW,T5P0S3,C,http://britannia.epsb.ca,7804895300,7804846101,britannia@epsb.ca,Junior,"Regular Program (7-9), Behaviour & Learning Assistance (7-9), Community Learning Skills (7-9), Logos Christian (7-9)",7551,Grade 7 to Grade 9,53.546425599999999,-113.59778009999999,"(53.5464256, -113.5977801)"
