ID,DateTime,MONTH,YEAR,REPORT_PERIOD,UNEMPLOYMENT_RATE,National_Unemployment_Rate
1,01/31/2010 12:00:00 AM,JANUARY,2010,Jan-10,7.1%,8.4%
2,02/28/2010 12:00:00 AM,FEBRUARY,2010,Feb-10,6.9%,8.3%
3,03/31/2010 12:00:00 AM,MARCH,2010,Mar-10,7.1%,8.2%
4,04/30/2010 12:00:00 AM,APRIL,2010,Apr-10,7.4%,8.1%
5,05/31/2010 12:00:00 AM,MAY,2010,May-10,7.3%,8.1%
6,06/30/2010 12:00:00 AM,JUNE,2010,Jun-10,7.1%,8.0%
7,07/31/2010 12:00:00 AM,JULY,2010,Jul-10,6.9%,8.0%
8,08/31/2010 12:00:00 AM,AUGUST,2010,Aug-10,6.9%,8.0%
9,09/30/2010 12:00:00 AM,SEPTEMBER,2010,Sep-10,6.6%,8.0%
10,10/31/2010 12:00:00 AM,OCTOBER,2010,Oct-10,6.2%,8.0%
11,11/30/2010 12:00:00 AM,NOVEMBER,2010,Nov-10,6.0%,7.8%
12,12/31/2010 12:00:00 AM,DECEMBER,2010,Dec-10,5.8%,7.7%
13,01/31/2011 12:00:00 AM,JANUARY,2011,Jan-11,5.8%,7.7%
14,02/28/2011 12:00:00 AM,FEBRUARY,2011,Feb-11,5.7%,7.7%
15,03/31/2011 12:00:00 AM,MARCH,2011,Mar-11,5.5%,7.7%
16,04/30/2011 12:00:00 AM,APRIL,2011,Apr-11,5.6%,7.6%
17,05/31/2011 12:00:00 AM,MAY,2011,May-11,5.5%,7.5%
18,06/30/2011 12:00:00 AM,JUNE,2011,Jun-11,5.6%,7.5%
19,07/31/2011 12:00:00 AM,JULY,2011,Jul-11,5.4%,7.4%
20,08/31/2011 12:00:00 AM,AUGUST,2011,Aug-11,5.3%,7.3%
21,09/30/2011 12:00:00 AM,SEPTEMBER,2011,Sep-11,5.3%,7.2%
22,10/31/2011 12:00:00 AM,OCTOBER,2011,Oct-11,5.5%,7.3%
23,11/30/2011 12:00:00 AM,NOVEMBER,2011,Nov-11,5.5%,7.3%
24,12/31/2011 12:00:00 AM,DECEMBER,2011,Dec-11,5.0%,7.4%
25,01/31/2012 12:00:00 AM,JANUARY,2012,Jan-12,5.0%,7.5%
26,02/29/2012 12:00:00 AM,FEBRUARY,2012,Feb-12,5.1%,7.5%
27,03/31/2012 12:00:00 AM,MARCH,2012,Mar-12,5.5%,7.4%
28,04/30/2012 12:00:00 AM,APRIL,2012,Apr-12,5.1%,7.3%
29,05/31/2012 12:00:00 AM,MAY,2012,May-12,4.8%,7.3%
30,06/30/2012 12:00:00 AM,JUNE,2012,Jun-12,4.5%,7.3%
31,07/31/2012 12:00:00 AM,JULY,2012,Jul-12,4.5%,7.3%
32,08/31/2012 12:00:00 AM,AUGUST,2012,Aug-12,4.5%,7.2%
33,09/30/2012 12:00:00 AM,SEPTEMBER,2012,Sep-12,4.4%,7.3%
34,10/31/2012 12:00:00 AM,OCTOBER,2012,Oct-12,4.2%,7.3%
35,11/30/2012 12:00:00 AM,NOVEMBER,2012,Nov-12,4.1%,7.3%
36,12/31/2012 12:00:00 AM,DECEMBER,2012,Dec-12,4.4%,7.2%
37,01/31/2013 12:00:00 AM,JANUARY,2013,Jan-13,4.3%,7.1%
38,02/28/2013 12:00:00 AM,FEBRUARY,2013,Feb-13,4.4%,7.0%
39,03/31/2013 12:00:00 AM,MARCH,2013,Mar-13,4.3%,7.1%
40,04/30/2013 12:00:00 AM,APRIL,2013,Apr-13,4.5%,7.1%
41,05/31/2013 12:00:00 AM,MAY,2013,May-13,4.6%,7.2%
42,06/30/2013 12:00:00 AM,JUNE,2013,Jun-13,4.7%,7.1%
46,10/31/2013 12:00:00 AM,OCTOBER,2013,Oct-13,5.4%,7.0%
49,01/31/2014 12:00:00 AM,JANUARY,2014,Jan-14,5.5%,7.0%
50,02/28/2014 12:00:00 AM,FEBRUARY,2014,Feb-14,5.1%,7.1%
51,03/31/2014 12:00:00 AM,MARCH,2014,Mar-14,4.8%,7.0%
52,04/30/2014 12:00:00 AM,APRIL,2014,Apr-14,4.8%,7.0%
53,05/31/2014 12:00:00 AM,MAY,2014,May-14,5.2%,7.0%
54,06/06/2014 12:00:00 AM,JUNE,2014,Jun-14,5.5%,7.0%
55,07/18/2014 12:00:00 AM,JULY,2014,Jul-14,5.5%,7.1%
56,08/08/2014 12:00:00 AM,AUGUST,2014,Aug-14,5.6%,7.1%
57,09/12/2014 12:00:00 AM,SEPTEMBER,2014,Sept-14,5.6%,6.9%
48,12/13/2013 12:00:00 AM,DECEMBER,2013,Dec-13,5.5%,7.0%
47,11/08/2013 12:00:00 AM,NOVEMBER,2013,Nov-13,5.2%,6.9%
45,09/06/2013 12:00:00 AM,SEPTEMBER,2013,Sep-13,5.2%,7.1%
44,08/09/2013 12:00:00 AM,AUGUST,2013,Aug-13,5.3%,7.1%
43,07/12/2013 12:00:00 AM,JULY,2013,Jul-13,4.9%,7.1%
58,10/10/2014 12:00:00 AM,OCTOBER,2014,Oct-14,5.4%,6.8%
61,01/08/2015 12:00:00 AM,JANUARY,2015,Jan-15,4.8%,6.6%
59,11/07/2014 12:00:00 AM,NOVEMBER,2014,Nov-14,5.3%,6.7%
60,12/05/2014 12:00:00 AM,DECEMBER,2014,Dec-14,5.0%,6.7%
62,02/02/2015 12:00:00 AM,FEBRUARY,2015,Feb-2015,4.8%,6.8%
63,03/02/2015 12:00:00 AM,MARCH,2015,March-15,5.3%,6.7%
64,04/01/2015 12:00:00 AM,APRIL,2015,April-15,5.8%,6.8%
65,05/01/2015 12:00:00 AM,May,2015,May-15,6.3%,6.8%
66,06/01/2015 12:00:00 AM,June,2015,Jun-15,5.9%,6.8%
67,07/01/2015 12:00:00 AM,July,2015,Jul-15,5.7%,6.8%
68,08/03/2015 12:00:00 AM,August,2015,Aug-15,5.5%,6.8%
69,09/01/2015 12:00:00 AM,September,2015,Sep-15,5.9%,6.9%
70,10/01/2015 12:00:00 AM,October,2015,Oct-15,6.0%,7.0%
71,11/02/2015 12:00:00 AM,November,2015,Nov-15,6.1%,7.0%
72,12/01/2015 12:00:00 AM,December,2015,Dec-15,6.2%,7.1%
73,01/01/2016 12:00:00 AM,January,2016,Jan-16,6.5%,7.1%
74,02/01/2016 12:00:00 AM,February,2016,Feb-16,6.8%,7.2%
75,03/01/2016 12:00:00 AM,March,2016,Mar-16,6.9%,7.2%
76,04/01/2016 12:00:00 AM,April,2016,Apr-16,7.0%,7.2%
77,05/02/2016 12:00:00 AM,May,2016,May-16,7.0%,7.1%
78,06/01/2016 12:00:00 AM,June,2016,June-16,7.0%,7.0%
79,07/01/2016 12:00:00 AM,July,2016,Jul-16,7.7%,6.9%
80,08/01/2016 12:00:00 AM,August,2016,Aug-16,8.0%,6.9%
