,Catholic,Francophone,Month,Neighbourhood Name,Neighbourhood Number,No Response,Public,Quarter,Ward,Year
0,0.0,0.0,1.0,ALBERTA PARK INDUSTRIAL,4010.0,0.0,0.0,1.0,Ward 1,2011.0
0,0.0,0.0,2.0,ALBERTA PARK INDUSTRIAL,4010.0,0.0,0.0,1.0,Ward 1,2011.0
0,0.0,0.0,3.0,ALBERTA PARK INDUSTRIAL,4010.0,0.0,0.0,1.0,Ward 1,2011.0
0,0.0,0.0,4.0,ALBERTA PARK INDUSTRIAL,4010.0,0.0,0.0,2.0,Ward 1,2011.0
0,0.0,0.0,5.0,ALBERTA PARK INDUSTRIAL,4010.0,0.0,0.0,2.0,Ward 1,2011.0
0,0.0,0.0,6.0,ALBERTA PARK INDUSTRIAL,4010.0,0.0,0.0,2.0,Ward 1,2011.0
0,0.0,0.0,7.0,ALBERTA PARK INDUSTRIAL,4010.0,0.0,0.0,3.0,Ward 1,2011.0
0,0.0,0.0,8.0,ALBERTA PARK INDUSTRIAL,4010.0,0.0,0.0,3.0,Ward 1,2011.0
0,0.0,0.0,9.0,ALBERTA PARK INDUSTRIAL,4010.0,0.0,0.0,3.0,Ward 1,2011.0
0,0.0,0.0,10.0,ALBERTA PARK INDUSTRIAL,4010.0,0.0,0.0,4.0,Ward 1,2011.0
0,0.0,0.0,11.0,ALBERTA PARK INDUSTRIAL,4010.0,0.0,0.0,4.0,Ward 1,2011.0
0,0.0,0.0,12.0,ALBERTA PARK INDUSTRIAL,4010.0,0.0,0.0,4.0,Ward 1,2011.0
1,1392.0,0.0,1.0,ALDERGROVE,4020.0,343.0,3780.0,1.0,Ward 1,2011.0
1,1392.0,0.0,2.0,ALDERGROVE,4020.0,343.0,3780.0,1.0,Ward 1,2011.0
1,1392.0,0.0,3.0,ALDERGROVE,4020.0,343.0,3780.0,1.0,Ward 1,2011.0
1,1392.0,0.0,4.0,ALDERGROVE,4020.0,343.0,3780.0,2.0,Ward 1,2011.0
1,1392.0,0.0,5.0,ALDERGROVE,4020.0,343.0,3780.0,2.0,Ward 1,2011.0
1,1392.0,0.0,6.0,ALDERGROVE,4020.0,343.0,3780.0,2.0,Ward 1,2011.0
1,1392.0,0.0,7.0,ALDERGROVE,4020.0,343.0,3780.0,3.0,Ward 1,2011.0
1,1392.0,0.0,8.0,ALDERGROVE,4020.0,343.0,3780.0,3.0,Ward 1,2011.0
1,1392.0,0.0,9.0,ALDERGROVE,4020.0,343.0,3780.0,3.0,Ward 1,2011.0
1,1392.0,0.0,10.0,ALDERGROVE,4020.0,343.0,3780.0,4.0,Ward 1,2011.0
1,1392.0,0.0,11.0,ALDERGROVE,4020.0,343.0,3780.0,4.0,Ward 1,2011.0
1,1392.0,0.0,12.0,ALDERGROVE,4020.0,343.0,3780.0,4.0,Ward 1,2011.0
2,0.0,0.0,1.0,ANTHONY HENDAY,4011.0,0.0,0.0,1.0,Ward 1,2011.0
2,0.0,0.0,2.0,ANTHONY HENDAY,4011.0,0.0,0.0,1.0,Ward 1,2011.0
2,0.0,0.0,3.0,ANTHONY HENDAY,4011.0,0.0,0.0,1.0,Ward 1,2011.0
2,0.0,0.0,4.0,ANTHONY HENDAY,4011.0,0.0,0.0,2.0,Ward 1,2011.0
2,0.0,0.0,5.0,ANTHONY HENDAY,4011.0,0.0,0.0,2.0,Ward 1,2011.0
2,0.0,0.0,6.0,ANTHONY HENDAY,4011.0,0.0,0.0,2.0,Ward 1,2011.0
2,0.0,0.0,7.0,ANTHONY HENDAY,4011.0,0.0,0.0,3.0,Ward 1,2011.0
2,0.0,0.0,8.0,ANTHONY HENDAY,4011.0,0.0,0.0,3.0,Ward 1,2011.0
2,0.0,0.0,9.0,ANTHONY HENDAY,4011.0,0.0,0.0,3.0,Ward 1,2011.0
2,0.0,0.0,10.0,ANTHONY HENDAY,4011.0,0.0,0.0,4.0,Ward 1,2011.0
2,0.0,0.0,11.0,ANTHONY HENDAY,4011.0,0.0,0.0,4.0,Ward 1,2011.0
