Ward,Neighbourhood Number,Neighbourhood Name,Public,Catholic,Francophone,No Response
Ward 1,3140,CRESTWOOD,1346,576,0,365
Ward 1,3330,PARKVIEW,2186,927,0,200
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0
Ward 1,4011,ANTHONY HENDAY,0,0,0,0
Ward 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0
Ward 1,4020,ALDERGROVE,3465,1023,0,862
Ward 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,121
Ward 1,4040,BELMEAD,2592,1045,0,972
Ward 1,4060,BRITANNIA YOUNGSTOWN,2046,643,0,2016
Ward 1,4090,CANORA,1632,573,0,1143
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0,0
Ward 1,4180,GLENWOOD,2663,1093,0,1526
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0
Ward 1,4200,HIGH PARK,733,196,0,453
Ward 1,4230,JASPER PARK,1041,342,0,484
Ward 1,4240,LA PERLE,3095,1205,0,896
Ward 1,4290,MAYFIELD,1061,355,0,546
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0
Ward 1,4310,MEADOWLARK PARK,1596,458,0,612
Ward 1,4340,MORIN INDUSTRIAL,0,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0,0
Ward 1,4400,PLACE LARUE,0,0,0,0
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,105,26,0,21
Ward 1,4471,TRUMPETER AREA,228,132,0,144
Ward 1,4473,HAWKS RIDGE,35,17,0,5
Ward 1,4474,STARLING,83,55,0,41
Ward 1,4475,KINOKAMAU PLAINS AREA,72,26,0,18
Ward 1,4485,LEWIS FARMS INDUSTRIAL,40,7,0,27
Ward 1,4486,STEWART GREENS,0,0,0,0
Ward 1,4487,SECORD,1252,594,0,291
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0
Ward 1,4500,SHERWOOD,780,280,0,320
Ward 1,4510,STONE INDUSTRIAL,0,0,0,0
Ward 1,4520,SUMMERLEA,1158,274,0,598
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0
Ward 1,4540,TERRA LOSA,1195,519,0,501
Ward 1,4580,WEST JASPER PLACE,1526,674,0,831
Ward 1,4590,WEST MEADOWLARK PARK,1857,865,0,958
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,1132,267,0,580
Ward 1,4630,WHITE INDUSTRIAL,0,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,0,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,10,0,0,126
Ward 1,4700,BRECKENRIDGE GREENS,1238,458,0,204
Ward 1,4710,POTTER GREENS,1020,423,0,86
Ward 1,4730,SUDER GREENS,2025,763,0,477
Ward 1,4740,WEBBER GREENS,984,445,0,315
Ward 1,4750,ROSENTHAL,65,28,0,13
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0
Ward 2,1170,PRINCE RUPERT,579,197,0,578
Ward 2,1230,SPRUCE AVENUE,782,276,0,816
Ward 2,1250,WESTWOOD,1767,407,0,1250
