WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD NAME,CANADIAN_CITIZEN,NON-CANADIAN_CITIZEN,NO_RESPONSE
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0
Ward 1,4020,ALDERGROVE,4756,570,189
Ward 1,4011,ANTHONY HENDAY,0,0,0
Ward 1,4030,ARMSTRONG INDUSTRIAL,0,0,125
Ward 1,4040,BELMEAD,3942,480,181
Ward 1,4700,BRECKENRIDGE GREENS,1787,79,45
Ward 1,4060,BRITANNIA YOUNGSTOWN,3597,549,613
Ward 1,4090,CANORA,2650,301,384
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0
Ward 1,3140,CRESTWOOD,2007,79,237
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0
Ward 1,4180,GLENWOOD,3805,630,660
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0
Ward 1,4473,HAWKS RIDGE,0,0,0
Ward 1,4200,HIGH PARK,1176,46,167
Ward 1,4230,JASPER PARK,1329,110,401
Ward 1,4475,KINOKAMAU PLAINS AREA,87,0,19
Ward 1,4240,LA PERLE,4038,369,715
Ward 1,4485,LEWIS FARMS INDUSTRIAL,64,0,11
Ward 1,4290,MAYFIELD,1738,93,137
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0
Ward 1,4310,MEADOWLARK PARK,2168,116,324
Ward 1,4340,MORIN INDUSTRIAL,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0
Ward 1,3330,PARKVIEW,2985,117,232
Ward 1,4400,PLACE LARUE,0,0,0
Ward 1,4710,POTTER GREENS,1459,44,17
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,129,1,22
Ward 1,4480,RURAL WEST LEWIS FARMS,0,0,0
Ward 1,4487,SECORD,718,59,137
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0
Ward 1,4500,SHERWOOD,858,80,316
Ward 1,4486,STEWART GREENS,0,0,0
Ward 1,4510,STONE INDUSTRIAL,0,0,0
Ward 1,4730,SUDER GREENS,2433,218,160
Ward 1,4520,SUMMERLEA,1620,180,258
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0
Ward 1,4540,TERRA LOSA,1714,158,316
Ward 1,4471,TRUMPETER AREA,112,0,48
Ward 1,4740,WEBBER GREENS,472,72,5
Ward 1,4580,WEST JASPER PLACE,1969,433,564
Ward 1,4590,WEST MEADOWLARK PARK,2283,357,696
