WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD NAME,PRESCHOOL,KINDERGARTEN - GRADE6,GRADE 7 - GRADE 9,GRADE 10 - GRADE 12,POST_SECONDARY_STUDENT,HOMEMAKER,EMPLOYED_0-30_HOURS,EMPLOYED_MORE_THAN_30_HOURS,UNEMPLOYED,RETIRED,PERMANENTLY_UNABLE_TO_WORK,OTHER,NO_RESPONSE
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4020,ALDERGROVE,367,403,160,261,285,200,372,2478,158,461,49,16,305
Ward 1,4011,ANTHONY HENDAY,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,125
Ward 1,4040,BELMEAD,286,377,170,168,232,155,313,1855,120,462,45,34,386
Ward 1,4700,BRECKENRIDGE GREENS,121,171,58,62,66,64,121,899,27,175,6,5,136
Ward 1,4060,BRITANNIA YOUNGSTOWN,269,276,128,124,138,151,247,1982,214,432,119,21,658
Ward 1,4090,CANORA,186,175,81,72,92,102,158,1383,161,352,66,76,431
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,3140,CRESTWOOD,77,159,92,68,139,81,145,808,22,413,10,15,294
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4180,GLENWOOD,220,263,151,106,143,124,299,2089,145,733,69,62,691
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4473,HAWKS RIDGE,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4200,HIGH PARK,51,54,32,22,25,45,63,656,27,260,27,10,117
Ward 1,4230,JASPER PARK,38,35,18,17,23,24,36,309,26,139,13,19,1143
Ward 1,4475,KINOKAMAU PLAINS AREA,1,4,2,2,1,2,2,22,5,5,0,1,59
Ward 1,4240,LA PERLE,272,401,175,193,244,186,291,1955,111,454,46,42,752
Ward 1,4485,LEWIS FARMS INDUSTRIAL,2,2,0,5,3,1,2,17,0,13,1,1,28
Ward 1,4290,MAYFIELD,97,121,59,56,56,66,120,892,42,248,31,31,149
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4310,MEADOWLARK PARK,84,117,44,69,117,72,127,897,36,518,13,8,506
Ward 1,4340,MORIN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,3330,PARKVIEW,184,257,110,125,199,130,247,1336,35,478,10,25,198
Ward 1,4400,PLACE LARUE,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4710,POTTER GREENS,49,113,70,64,84,47,119,634,14,284,5,1,36
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,5,5,2,3,2,4,3,38,0,27,2,0,61
Ward 1,4480,RURAL WEST LEWIS FARMS,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4487,SECORD,108,53,13,15,14,19,9,441,0,11,0,29,202
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4500,SHERWOOD,42,49,28,32,31,28,45,407,42,142,14,10,384
Ward 1,4486,STEWART GREENS,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4510,STONE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4730,SUDER GREENS,250,243,80,86,98,82,165,1321,41,125,11,39,270
Ward 1,4520,SUMMERLEA,80,79,48,59,82,47,131,873,46,289,21,21,282
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4540,TERRA LOSA,57,44,20,23,55,48,117,765,38,668,31,5,317
Ward 1,4471,TRUMPETER AREA,13,4,1,0,1,3,3,62,2,7,0,4,60
Ward 1,4740,WEBBER GREENS,50,58,20,29,14,22,32,280,7,13,3,0,21
Ward 1,4580,WEST JASPER PLACE,116,112,59,57,123,67,205,1105,120,330,78,43,551
Ward 1,4590,WEST MEADOWLARK PARK,153,158,68,82,78,89,200,1248,71,367,38,10,774
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,103,118,65,50,23,105,126,1061,64,283,58,21,165
