Neighbourhood Name,Edmonton Public,Female,Never Married,Non-Canadian Citizen,Post Secondary Student,Rented,Transit,Unemployed
ABBOTTSFIELD,"103,269",944,"61,335","13,398","6,873","44,370","11,310","11,397"
ALBANY,0,0,0,0,0,0,0,0
ALBERTA AVENUE,"325,728","2,876","209,496","32,190","19,575","97,353","45,849","26,361"
ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0,0,0
ALDERGROVE,"328,860","2,765","206,364","49,590","24,795","63,336","34,974","13,746"
ALLARD,"13,659",126,"7,221","2,871",696,261,"2,175",174
ALLENDALE,"127,803","1,258","108,228","14,877","23,316","61,248","21,141","5,829"
AMBLESIDE,"133,284","1,169","56,202","15,486","7,221","5,829","5,568","1,566"
ANTHONY HENDAY,0,0,0,0,0,0,0,0
ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,87,0,0
ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0,0,0
ANTHONY HENDAY MISTATIM,0,0,0,0,0,0,0,0
ANTHONY HENDAY SOUTH,0,0,0,0,0,0,0,0
ANTHONY HENDAY SOUTH WEST,0,0,0,0,0,0,0,0
ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0,0,0
ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0,0,0
ARGYLL,"51,678",430,"28,275","2,523","3,393","4,524","3,393","1,392"
ARMSTRONG INDUSTRIAL,0,0,0,0,0,87,0,0
ASPEN GARDENS,"109,446",826,"52,722","4,959","10,440","3,828","6,612","1,131"
ATHLONE,"147,204","1,484","108,054","12,006","11,049","23,925","14,007","6,699"
AVONMORE,"123,105","1,012","56,463","4,263","5,655","15,573","11,136","2,697"
BALWIN,"198,099","1,813","141,549","28,884","13,398","51,330","20,793","14,703"
BANNERMAN,"191,574","1,529","116,406","16,269","9,396","34,365","24,360","10,179"
BARANOW,"52,548",643,"32,451","8,352","2,436","24,012","3,219","1,566"
BATURYN,"258,999","2,475","173,739","15,138","14,790","29,667","22,794","8,352"
BEACON HEIGHTS,"161,211","1,352","82,650","12,267","4,785","28,971","15,225","10,092"
BEARSPAW,"142,332","1,065","38,889","4,785","13,137","6,090","8,526","2,088"
BEAUMARIS,"217,761","2,246","129,282","17,574","15,399","42,891","16,008","8,874"
BELGRAVIA,"146,508","1,054","71,949","10,179","28,449","19,401","18,009","1,479"
BELLE RIVE,"196,011","1,973","147,291","14,094","25,404","8,004","11,658","7,308"
BELLEVUE,"59,769",463,"31,668","2,436","3,219","7,917","6,786","1,827"
BELMEAD,"266,046","2,345","161,124","41,760","20,184","43,935","25,404","10,440"
BELMONT,"249,081","2,609","191,748","38,280","15,138","58,290","40,107","12,180"
BELVEDERE,"289,188","2,488","176,871","41,151","13,920","98,484","41,412","18,009"
BERGMAN,"93,960",679,"36,540","4,002","4,437","4,437","5,220","3,306"
BEVERLY HEIGHTS,"182,352","1,583","86,478","7,917","6,177","50,286","16,530","8,091"
BISSET,"214,716","1,899","108,576","51,591","16,356","41,499","21,576","11,571"
BLACKBURNE,"83,868",779,"42,891","6,090","7,830","2,436","4,872",435
BLACKMUD CREEK,"163,647","1,297","87,087","18,096","9,483","8,091","10,788","2,697"
BLACKMUD CREEK RAVINE,0,0,0,0,0,0,0,0
BLUE QUILL,"266,655","2,240","165,996","73,254","33,060","104,400","45,066","15,312"
BLUE QUILL ESTATES,"76,821",625,"38,454","15,834","7,134","19,836","9,570","1,218"
BONAVENTURE INDUSTRIAL,0,0,0,0,0,0,0,0
BONNIE DOON,"243,339","2,182","146,943","21,315","21,576","88,566","33,234","9,396"
BOYLE STREET,"210,975","2,258","151,119","52,722","18,879","254,649","50,547","27,405"
BRANDER GARDENS,"140,331","1,283","84,216","18,444","15,312","37,845","13,311","4,176"
BRECKENRIDGE GREENS,"117,798",979,"58,986","6,873","5,742","7,308","6,438","2,349"
BRINTNELL,"269,352","2,569","176,001","27,753","14,529","12,267","27,405","6,351"
BRITANNIA YOUNGSTOWN,"266,220","2,274","160,254","47,763","12,006","121,278","32,190","18,618"
BROOKSIDE,"110,403",983,"61,248","6,786","9,135","12,267","8,352","2,436"
BROWN INDUSTRIAL,0,0,0,0,0,0,0,0
BULYEA HEIGHTS,"240,990","1,799","108,141","5,394","30,711","1,740","7,917","2,262"
CAERNARVON,"220,632","2,088","150,858","18,966","14,964","37,149","21,489","9,918"
CALDER,"229,506","1,885","147,465","19,140","9,396","71,775","22,533","15,573"
CALGARY TRAIL NORTH,0,0,0,0,0,0,0,0
CALGARY TRAIL SOUTH,0,0,0,0,0,0,0,0
CALLAGHAN,"70,905",580,"36,279","13,572","4,263","1,566","6,003",696
CALLINGWOOD NORTH,"132,414","1,199","83,433","22,533","7,134","49,938","21,924","6,699"
