WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD NAME,CAR/TRUCK/VAN_(AS_DRIVER),CAR/TRUCK/VAN_(AS_PASSENGER),TRANSIT,WALK,BICYCLE,OTHER,NO_RESPONSE
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4020,ALDERGROVE,2210,123,402,61,5,29,36
Ward 1,4011,ANTHONY HENDAY,0,0,0,0,0,0,0
Ward 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4040,BELMEAD,1606,113,292,73,4,69,45
Ward 1,4700,BRECKENRIDGE GREENS,902,29,74,7,0,7,6
Ward 1,4060,BRITANNIA YOUNGSTOWN,1535,150,370,113,9,53,20
Ward 1,4090,CANORA,1027,77,371,91,23,28,0
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,3140,CRESTWOOD,785,34,57,21,21,23,27
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4180,GLENWOOD,1678,99,482,99,12,50,30
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4473,HAWKS RIDGE,0,0,0,0,0,0,0
Ward 1,4200,HIGH PARK,584,33,83,8,5,16,0
Ward 1,4230,JASPER PARK,261,15,63,8,4,2,11
Ward 1,4475,KINOKAMAU PLAINS AREA,20,1,0,2,0,1,1
Ward 1,4240,LA PERLE,1788,112,237,65,5,43,38
Ward 1,4485,LEWIS FARMS INDUSTRIAL,17,1,0,1,0,1,0
Ward 1,4290,MAYFIELD,837,48,98,27,6,27,0
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4310,MEADOWLARK PARK,830,18,103,33,4,38,6
Ward 1,4340,MORIN INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,3330,PARKVIEW,1243,40,113,37,23,64,88
Ward 1,4400,PLACE LARUE,0,0,0,0,0,0,0
Ward 1,4710,POTTER GREENS,673,26,26,1,1,26,1
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,34,0,0,0,0,7,0
Ward 1,4480,RURAL WEST LEWIS FARMS,0,0,0,0,0,0,0
Ward 1,4487,SECORD,450,3,9,0,0,5,12
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4500,SHERWOOD,342,29,66,8,1,6,10
Ward 1,4486,STEWART GREENS,0,0,0,0,0,0,0
Ward 1,4510,STONE INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4730,SUDER GREENS,1269,81,116,1,2,41,15
Ward 1,4520,SUMMERLEA,746,55,102,95,1,25,1
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4540,TERRA LOSA,679,44,99,32,1,26,6
Ward 1,4471,TRUMPETER AREA,66,0,1,0,0,2,0
Ward 1,4740,WEBBER GREENS,256,21,27,0,0,4,4
Ward 1,4580,WEST JASPER PLACE,863,46,322,41,9,15,57
Ward 1,4590,WEST MEADOWLARK PARK,938,88,226,156,11,23,16
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,1049,32,80,14,0,14,19
Ward 1,4630,WHITE INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,0,0,0,0,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,2,0,0,3,0,0,0
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,3460,ALBANY,0,0,0,0,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0,0,0,0
Ward 2,3010,ATHLONE,1251,92,161,20,8,14,17
Ward 2,3020,BARANOW,430,20,37,18,1,1,0
Ward 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,3050,BROWN INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,3060,CAERNARVON,1511,127,247,34,1,30,1
Ward 2,3070,CALDER,1489,108,259,59,9,22,19
Ward 2,3090,CARLISLE,1350,94,198,31,4,30,19
Ward 2,3470,CARLTON,1288,50,69,6,2,32,6
Ward 2,3150,CUMBERLAND,2924,54,208,25,4,34,55
Ward 2,3160,DOMINION INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,3170,DOVERCOURT,850,44,135,23,9,20,16
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,3111,GRIESBACH,1272,87,121,21,3,37,1
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,3480,HUDSON,833,61,42,9,2,6,1
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,3240,INGLEWOOD,1787,189,730,121,45,72,73
Ward 2,3250,KENSINGTON,1025,80,156,36,9,30,16
Ward 2,3260,LAUDERDALE,903,66,153,33,3,21,34
Ward 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,3320,OXFORD,1423,84,109,5,1,32,48
Ward 2,3340,PEMBINA,217,5,20,14,2,3,0
Ward 2,3350,PRINCE CHARLES,458,14,71,6,3,10,1
Ward 2,1170,PRINCE RUPERT,483,34,102,47,8,16,8
Ward 2,3360,RAMPART INDUSTRIAL,0,0,0,0,0,0,0
Ward 2,3390,ROSSLYN,980,39,112,13,0,13,20
Ward 2,3400,RURAL NORTH WEST,0,0,0,0,0,0,0
Ward 2,3410,SHERBROOKE,903,53,179,17,12,27,11
Ward 2,1230,SPRUCE AVENUE,409,37,149,77,11,20,3
Ward 2,3430,WELLINGTON,1268,72,170,47,10,5,6
Ward 2,1250,WESTWOOD,879,88,334,75,12,27,20
Ward 2,3450,WOODCROFT,759,48,152,48,12,19,18
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0,0
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,0,0
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0,0
Ward 3,3030,BATURYN,1973,93,262,15,1,28,19
Ward 3,3040,BEAUMARIS,1494,94,184,18,4,41,12
Ward 3,2050,BELLE RIVE,1764,92,134,7,3,11,13
Ward 3,3080,CANOSSA,1520,84,98,9,0,20,15
Ward 3,3120,CHAMBERY,952,34,50,4,1,13,5
Ward 3,2210,CRYSTALLINA NERA,0,0,0,0,0,0,0
Ward 3,3180,DUNLUCE,2380,116,318,46,10,47,66
Ward 3,2241,EAUX CLAIRES,1308,80,147,33,1,16,4
Ward 3,3190,ELSINORE,841,24,54,5,0,15,13
Ward 3,2260,EVANSDALE,1733,133,318,42,4,33,31
Ward 3,2410,KILKENNY,1999,78,409,45,7,32,29
Ward 3,2440,KLARVATTEN,2128,84,210,6,2,25,35
Ward 3,2450,LAGO LINDO,1818,85,210,17,3,17,54
Ward 3,2461,LAKE DISTRICT NORTH EAST PORTION,0,0,0,0,0,0,0
