WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,LENGTH_OF_RESIDENCE,OWNED,RENTED,NO_RESPONSE
Ward 1,4010,ALBERTA PARK INDUSTRIAL,5 years or more,0,0,0
Ward 1,4010,ALBERTA PARK INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 1,4010,ALBERTA PARK INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 1,4010,ALBERTA PARK INDUSTRIAL,Less than 1 year,0,0,0
Ward 1,4010,ALBERTA PARK INDUSTRIAL,Child less than 1 year,0,0,0
Ward 1,4010,ALBERTA PARK INDUSTRIAL,No Response,0,0,0
Ward 1,4020,ALDERGROVE,5 years or more,2410,243,5
Ward 1,4020,ALDERGROVE,No 3 years to less than 5 years,332,322,0
Ward 1,4020,ALDERGROVE,1 year to less than 3 years,318,651,2
Ward 1,4020,ALDERGROVE,Less than 1 year,159,615,0
Ward 1,4020,ALDERGROVE,Child less than 1 year,32,39,1
Ward 1,4020,ALDERGROVE,No Response,117,181,80
Ward 1,4011,ANTHONY HENDAY,5 years or more,0,0,0
Ward 1,4011,ANTHONY HENDAY,No 3 years to less than 5 years,0,0,0
Ward 1,4011,ANTHONY HENDAY,1 year to less than 3 years,0,0,0
Ward 1,4011,ANTHONY HENDAY,Less than 1 year,0,0,0
Ward 1,4011,ANTHONY HENDAY,Child less than 1 year,0,0,0
Ward 1,4011,ANTHONY HENDAY,No Response,0,0,0
Ward 1,4030,ARMSTRONG INDUSTRIAL,5 years or more,0,0,0
Ward 1,4030,ARMSTRONG INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 1,4030,ARMSTRONG INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 1,4030,ARMSTRONG INDUSTRIAL,Less than 1 year,0,0,0
Ward 1,4030,ARMSTRONG INDUSTRIAL,Child less than 1 year,0,0,0
Ward 1,4030,ARMSTRONG INDUSTRIAL,No Response,0,0,0
Ward 1,4040,BELMEAD,5 years or more,1956,305,15
Ward 1,4040,BELMEAD,No 3 years to less than 5 years,356,254,1
Ward 1,4040,BELMEAD,1 year to less than 3 years,189,430,5
Ward 1,4040,BELMEAD,Less than 1 year,195,397,0
Ward 1,4040,BELMEAD,Child less than 1 year,26,21,0
Ward 1,4040,BELMEAD,No Response,77,90,277
Ward 1,4700,BRECKENRIDGE GREENS,5 years or more,931,14,20
Ward 1,4700,BRECKENRIDGE GREENS,No 3 years to less than 5 years,316,28,4
Ward 1,4700,BRECKENRIDGE GREENS,1 year to less than 3 years,165,63,2
Ward 1,4700,BRECKENRIDGE GREENS,Less than 1 year,115,67,5
Ward 1,4700,BRECKENRIDGE GREENS,Child less than 1 year,17,5,0
Ward 1,4700,BRECKENRIDGE GREENS,No Response,72,19,68
Ward 1,4060,BRITANNIA YOUNGSTOWN,5 years or more,1188,638,9
Ward 1,4060,BRITANNIA YOUNGSTOWN,No 3 years to less than 5 years,258,239,6
Ward 1,4060,BRITANNIA YOUNGSTOWN,1 year to less than 3 years,183,531,1
Ward 1,4060,BRITANNIA YOUNGSTOWN,Less than 1 year,144,753,5
Ward 1,4060,BRITANNIA YOUNGSTOWN,Child less than 1 year,12,30,0
Ward 1,4060,BRITANNIA YOUNGSTOWN,No Response,83,464,182
Ward 1,4090,CANORA,5 years or more,577,510,27
Ward 1,4090,CANORA,No 3 years to less than 5 years,110,369,11
Ward 1,4090,CANORA,1 year to less than 3 years,105,509,11
Ward 1,4090,CANORA,Less than 1 year,69,512,21
Ward 1,4090,CANORA,Child less than 1 year,6,31,1
Ward 1,4090,CANORA,No Response,73,264,104
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,5 years or more,0,0,0
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,Less than 1 year,0,0,0
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,Child less than 1 year,0,0,0
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,No Response,0,0,0
Ward 1,3140,CRESTWOOD,5 years or more,1417,27,17
Ward 1,3140,CRESTWOOD,No 3 years to less than 5 years,223,27,6
Ward 1,3140,CRESTWOOD,1 year to less than 3 years,118,24,4
Ward 1,3140,CRESTWOOD,Less than 1 year,79,70,0
Ward 1,3140,CRESTWOOD,Child less than 1 year,12,2,0
Ward 1,3140,CRESTWOOD,No Response,194,17,70
Ward 1,4130,EDMISTON INDUSTRIAL,5 years or more,0,0,0
Ward 1,4130,EDMISTON INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 1,4130,EDMISTON INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 1,4130,EDMISTON INDUSTRIAL,Less than 1 year,0,0,0
