WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,CANADIAN_CITIZEN,NON_CANADIAN_CITIZEN,NO_RESPONSE
Ward 1,3140,CRESTWOOD,1916,79,292
Ward 1,3330,PARKVIEW,3077,97,139
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0
Ward 1,4011,ANTHONY HENDAY,0,0,0
Ward 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0
Ward 1,4020,ALDERGROVE,4157,689,504
Ward 1,4030,ARMSTRONG INDUSTRIAL,0,0,121
Ward 1,4040,BELMEAD,3629,554,426
Ward 1,4060,BRITANNIA YOUNGSTOWN,2694,417,1594
Ward 1,4090,CANORA,2063,401,884
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0
Ward 1,4180,GLENWOOD,3285,738,1259
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0
Ward 1,4200,HIGH PARK,966,48,368
Ward 1,4230,JASPER PARK,1298,211,358
Ward 1,4240,LA PERLE,4348,538,310
Ward 1,4290,MAYFIELD,1574,78,310
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0
Ward 1,4310,MEADOWLARK PARK,2078,155,433
Ward 1,4340,MORIN INDUSTRIAL,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0
Ward 1,4400,PLACE LARUE,0,0,0
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,124,5,23
Ward 1,4471,TRUMPETER AREA,369,15,120
Ward 1,4473,HAWKS RIDGE,49,3,5
Ward 1,4474,STARLING,132,8,39
Ward 1,4475,KINOKAMAU PLAINS AREA,92,6,18
Ward 1,4485,LEWIS FARMS INDUSTRIAL,47,1,26
Ward 1,4486,STEWART GREENS,0,0,0
Ward 1,4487,SECORD,1602,358,177
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0
Ward 1,4500,SHERWOOD,973,191,216
Ward 1,4510,STONE INDUSTRIAL,0,0,0
Ward 1,4520,SUMMERLEA,1355,179,496
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0
Ward 1,4540,TERRA LOSA,1614,222,379
Ward 1,4580,WEST JASPER PLACE,1954,551,526
Ward 1,4590,WEST MEADOWLARK PARK,2264,570,846
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,1462,28,489
Ward 1,4630,WHITE INDUSTRIAL,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,10,1,125
Ward 1,4700,BRECKENRIDGE GREENS,1679,114,107
Ward 1,4710,POTTER GREENS,1412,57,60
Ward 1,4730,SUDER GREENS,2694,333,238
Ward 1,4740,WEBBER GREENS,1138,399,207
Ward 1,4750,ROSENTHAL,83,13,10
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0
Ward 2,1170,PRINCE RUPERT,1054,115,185
Ward 2,1230,SPRUCE AVENUE,1059,126,689
Ward 2,1250,WESTWOOD,2220,532,672
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0
Ward 2,3010,ATHLONE,2650,196,297
Ward 2,3020,BARANOW,881,116,371
Ward 2,3050,BROWN INDUSTRIAL,0,0,0
Ward 2,3060,CAERNARVON,3291,232,730
Ward 2,3070,CALDER,3118,237,869
Ward 2,3090,CARLISLE,3203,367,342
Ward 2,3111,GRIESBACH,1942,149,1661
Ward 2,3150,CUMBERLAND,5450,366,623
Ward 2,3160,DOMINION INDUSTRIAL,0,0,0
Ward 2,3170,DOVERCOURT,1831,146,141
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0
Ward 2,3240,INGLEWOOD,3792,763,2216
Ward 2,3250,KENSINGTON,3067,218,375
Ward 2,3260,LAUDERDALE,2264,229,364
Ward 2,3290,MCARTHUR INDUSTRIAL,0,0,0
Ward 2,3320,OXFORD,2786,261,406
Ward 2,3340,PEMBINA,390,49,103
Ward 2,3350,PRINCE CHARLES,1229,62,303
Ward 2,3360,RAMPART INDUSTRIAL,0,0,0
Ward 2,3390,ROSSLYN,2501,199,276
Ward 2,3410,SHERBROOKE,2004,247,238
Ward 2,3430,WELLINGTON,2549,366,244
Ward 2,3450,WOODCROFT,2075,267,350
Ward 2,3460,ALBANY,453,68,104
Ward 2,3470,CARLTON,3217,327,304
Ward 2,3480,HUDSON,1424,145,425
Ward 2,3490,GOODRIDGE CORNERS,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,0,0,0
Ward 2,4023,ANTHONY HENDAY RAMPART,0,0,0
Ward 2,4050,BONAVENTURE INDUSTRIAL,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,0,0,0
Ward 3,2050,BELLE RIVE,3411,219,208
Ward 3,2210,CRYSTALLINA NERA,0,0,0
Ward 3,2241,EAUX CLAIRES,2348,212,588
Ward 3,2260,EVANSDALE,4610,717,531
Ward 3,2410,KILKENNY,4697,484,544
Ward 3,2440,KLARVATTEN,4809,337,363
Ward 3,2450,LAGO LINDO,3612,180,247
Ward 3,2461,CRYSTALLINA NERA EAST,0,0,0
Ward 3,2511,MAYLIEWAN,3727,189,290
Ward 3,2600,OZERNA,4033,213,253
Ward 3,2700,SCHONSEE,2097,133,233
Ward 3,3030,BATURYN,4450,215,247
Ward 3,3040,BEAUMARIS,3923,248,354
Ward 3,3080,CANOSSA,2618,183,355
Ward 3,3120,CHAMBERY,1887,75,317
Ward 3,3180,DUNLUCE,4931,393,1140
Ward 3,3190,ELSINORE,2058,80,116
Ward 3,3280,LORELEI,3525,287,338
Ward 3,3370,RAPPERSWILL,714,152,129
