Neighbourhood Name,Bicycle,Car/Truck/Van (As Driver),Car/Truck/Van (As Passenger),Other,Transit,Walk,Owned,Rented,Edmonton Catholic,Edmonton Public,AGE,Female,Male,Catholic,Public
ABBOTTSFIELD,"1,566","222,894","22,446","2,610","67,860","7,830","39,759","119,625","173,826","619,614","21,420","5,664","5,664","164,952","517,824"
ALBANY,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,"27,144","76,212"
ALBERTA AVENUE,"20,358","958,392","80,388","24,012","275,094","42,804","292,755","191,226","563,238","1,954,368","21,420","17,256","19,410","740,196","2,054,592"
ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
ALDERGROVE,"2,610","1,153,620","64,206","15,138","209,844","31,842","293,016","178,437","726,624","1,973,160","21,420","16,590","16,452","534,006","1,808,730"
ALLARD,0,"56,376","4,698","1,044","13,050",0,"19,401",870,"28,710","81,954","21,420",756,690,"108,054","370,098"
ALLENDALE,"17,226","484,416","31,320","23,490","126,846","33,408","99,702","121,974","181,656","766,818","21,420","7,548","8,568","175,392","670,248"
AMBLESIDE,0,"588,294","10,962","19,314","33,408","16,182","184,266","11,919","246,906","799,704","21,420","7,014","6,954","380,016","1,034,082"
ANTHONY HENDAY,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
ANTHONY HENDAY MISTATIM,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
ANTHONY HENDAY SOUTH,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
ANTHONY HENDAY SOUTH WEST,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
ARGYLL,"3,654","191,574","7,308","5,742","20,358","6,264","57,594","13,050","77,778","310,068","21,420","2,580","2,520","71,514","302,760"
ARMSTRONG INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
ASPEN GARDENS,522,"314,244","4,176",522,"39,672",0,"129,630","9,222","136,242","656,676","21,420","4,956","4,872","158,166","564,804"
ATHLONE,"4,176","653,022","48,024","7,308","84,042","10,440","193,314","65,337","595,602","883,224","21,420","8,904","9,684","441,612","815,364"
AVONMORE,"10,962","406,638","15,138","13,572","66,816","10,962","135,285","31,755","187,920","738,630","21,420","6,072","6,450","220,806","770,994"
BALWIN,"1,044","635,796","45,936","8,352","124,758","17,226","178,263","139,983","502,164","1,188,594","21,420","10,878","12,000","389,412","896,796"
BANNERMAN,"2,088","599,256","38,106","11,484","146,160","12,528","161,472","93,960","358,614","1,149,444","21,420","9,174","9,090","380,016","994,932"
BARANOW,522,"224,460","10,440",522,"19,314","9,396","47,328","38,976","125,280","315,288","21,420","3,858","2,964","86,652","330,426"
BATURYN,522,"1,029,906","48,546","14,616","136,764","7,830","304,500","101,877","807,012","1,553,994","21,420","14,850","14,568","824,238","1,469,952"
BEACON HEIGHTS,"2,088","496,944","33,408","9,918","91,350","27,666","155,295","70,209","404,028","967,266","21,420","8,112","9,426","446,310","998,064"
BEARSPAW,"2,088","413,424","13,050","8,874","51,156","3,654","163,821","18,879","162,342","853,992","21,420","6,390","6,366","166,518","667,116"
