,Employed 0-30 Hours,Employed 30+ Hours,Gr.10 - Gr.12,Gr.7 - Gr.9,Homemaker,Kindergarten - Gr.6,Month,Neighbourhood Name,Neighbourhood Number,No Response(Employment),Permanently Unable to Work,Post Secondary Student,Preschool,Quarter,Retired,Unemployed,Year,﻿Ward
0,0,0,0,0,0,0,1,ALBERTA PARK INDUSTRIAL,4010,0,0,0,0,1,0,0,2011,Ward 1
0,0,0,0,0,0,0,2,ALBERTA PARK INDUSTRIAL,4010,0,0,0,0,1,0,0,2011,Ward 1
0,0,0,0,0,0,0,3,ALBERTA PARK INDUSTRIAL,4010,0,0,0,0,1,0,0,2011,Ward 1
0,0,0,0,0,0,0,4,ALBERTA PARK INDUSTRIAL,4010,0,0,0,0,2,0,0,2011,Ward 1
0,0,0,0,0,0,0,5,ALBERTA PARK INDUSTRIAL,4010,0,0,0,0,2,0,0,2011,Ward 1
0,0,0,0,0,0,0,6,ALBERTA PARK INDUSTRIAL,4010,0,0,0,0,2,0,0,2011,Ward 1
0,0,0,0,0,0,0,7,ALBERTA PARK INDUSTRIAL,4010,0,0,0,0,3,0,0,2011,Ward 1
0,0,0,0,0,0,0,8,ALBERTA PARK INDUSTRIAL,4010,0,0,0,0,3,0,0,2011,Ward 1
0,0,0,0,0,0,0,9,ALBERTA PARK INDUSTRIAL,4010,0,0,0,0,3,0,0,2011,Ward 1
0,0,0,0,0,0,0,10,ALBERTA PARK INDUSTRIAL,4010,0,0,0,0,4,0,0,2011,Ward 1
0,0,0,0,0,0,0,11,ALBERTA PARK INDUSTRIAL,4010,0,0,0,0,4,0,0,2011,Ward 1
0,0,0,0,0,0,0,12,ALBERTA PARK INDUSTRIAL,4010,0,0,0,0,4,0,0,2011,Ward 1
1,372,2478,261,160,200,403,1,ALDERGROVE,4020,321,49,285,367,1,461,158,2011,Ward 1
1,372,2478,261,160,200,403,2,ALDERGROVE,4020,321,49,285,367,1,461,158,2011,Ward 1
1,372,2478,261,160,200,403,3,ALDERGROVE,4020,321,49,285,367,1,461,158,2011,Ward 1
