,Common Law,Married,Month,Neighbourhood Name,Neighbourhood Number,Never Married,No Response(Marital),Quarter,Separated/Divorced,Ward,Widowed,Year
0,0,0,1,ALBERTA PARK INDUSTRIAL,4010,0,0,1,0,Ward 1,0,2011
0,0,0,2,ALBERTA PARK INDUSTRIAL,4010,0,0,1,0,Ward 1,0,2011
0,0,0,3,ALBERTA PARK INDUSTRIAL,4010,0,0,1,0,Ward 1,0,2011
0,0,0,4,ALBERTA PARK INDUSTRIAL,4010,0,0,2,0,Ward 1,0,2011
0,0,0,5,ALBERTA PARK INDUSTRIAL,4010,0,0,2,0,Ward 1,0,2011
0,0,0,6,ALBERTA PARK INDUSTRIAL,4010,0,0,2,0,Ward 1,0,2011
0,0,0,7,ALBERTA PARK INDUSTRIAL,4010,0,0,3,0,Ward 1,0,2011
0,0,0,8,ALBERTA PARK INDUSTRIAL,4010,0,0,3,0,Ward 1,0,2011
0,0,0,9,ALBERTA PARK INDUSTRIAL,4010,0,0,3,0,Ward 1,0,2011
0,0,0,10,ALBERTA PARK INDUSTRIAL,4010,0,0,4,0,Ward 1,0,2011
0,0,0,11,ALBERTA PARK INDUSTRIAL,4010,0,0,4,0,Ward 1,0,2011
0,0,0,12,ALBERTA PARK INDUSTRIAL,4010,0,0,4,0,Ward 1,0,2011
1,273,2099,1,ALDERGROVE,4020,2372,337,1,287,Ward 1,147,2011
1,273,2099,2,ALDERGROVE,4020,2372,337,1,287,Ward 1,147,2011
1,273,2099,3,ALDERGROVE,4020,2372,337,1,287,Ward 1,147,2011
1,273,2099,4,ALDERGROVE,4020,2372,337,2,287,Ward 1,147,2011
1,273,2099,5,ALDERGROVE,4020,2372,337,2,287,Ward 1,147,2011
1,273,2099,6,ALDERGROVE,4020,2372,337,2,287,Ward 1,147,2011
1,273,2099,7,ALDERGROVE,4020,2372,337,3,287,Ward 1,147,2011
1,273,2099,8,ALDERGROVE,4020,2372,337,3,287,Ward 1,147,2011
1,273,2099,9,ALDERGROVE,4020,2372,337,3,287,Ward 1,147,2011
1,273,2099,10,ALDERGROVE,4020,2372,337,4,287,Ward 1,147,2011
1,273,2099,11,ALDERGROVE,4020,2372,337,4,287,Ward 1,147,2011
1,273,2099,12,ALDERGROVE,4020,2372,337,4,287,Ward 1,147,2011
2,0,0,1,ANTHONY HENDAY,4011,0,0,1,0,Ward 1,0,2011
2,0,0,2,ANTHONY HENDAY,4011,0,0,1,0,Ward 1,0,2011
2,0,0,3,ANTHONY HENDAY,4011,0,0,1,0,Ward 1,0,2011
2,0,0,4,ANTHONY HENDAY,4011,0,0,2,0,Ward 1,0,2011
2,0,0,5,ANTHONY HENDAY,4011,0,0,2,0,Ward 1,0,2011
2,0,0,6,ANTHONY HENDAY,4011,0,0,2,0,Ward 1,0,2011
2,0,0,7,ANTHONY HENDAY,4011,0,0,3,0,Ward 1,0,2011
2,0,0,8,ANTHONY HENDAY,4011,0,0,3,0,Ward 1,0,2011
2,0,0,9,ANTHONY HENDAY,4011,0,0,3,0,Ward 1,0,2011
2,0,0,10,ANTHONY HENDAY,4011,0,0,4,0,Ward 1,0,2011
2,0,0,11,ANTHONY HENDAY,4011,0,0,4,0,Ward 1,0,2011
2,0,0,12,ANTHONY HENDAY,4011,0,0,4,0,Ward 1,0,2011
3,0,0,1,ARMSTRONG INDUSTRIAL,4030,0,125,1,0,Ward 1,0,2011
3,0,0,2,ARMSTRONG INDUSTRIAL,4030,0,125,1,0,Ward 1,0,2011
3,0,0,3,ARMSTRONG INDUSTRIAL,4030,0,125,1,0,Ward 1,0,2011
3,0,0,4,ARMSTRONG INDUSTRIAL,4030,0,125,2,0,Ward 1,0,2011
3,0,0,5,ARMSTRONG INDUSTRIAL,4030,0,125,2,0,Ward 1,0,2011
3,0,0,6,ARMSTRONG INDUSTRIAL,4030,0,125,2,0,Ward 1,0,2011
3,0,0,7,ARMSTRONG INDUSTRIAL,4030,0,125,3,0,Ward 1,0,2011
3,0,0,8,ARMSTRONG INDUSTRIAL,4030,0,125,3,0,Ward 1,0,2011
3,0,0,9,ARMSTRONG INDUSTRIAL,4030,0,125,3,0,Ward 1,0,2011
3,0,0,10,ARMSTRONG INDUSTRIAL,4030,0,125,4,0,Ward 1,0,2011
3,0,0,11,ARMSTRONG INDUSTRIAL,4030,0,125,4,0,Ward 1,0,2011
3,0,0,12,ARMSTRONG INDUSTRIAL,4030,0,125,4,0,Ward 1,0,2011
4,205,1713,1,BELMEAD,4040,1852,439,1,277,Ward 1,117,2011
4,205,1713,2,BELMEAD,4040,1852,439,1,277,Ward 1,117,2011
4,205,1713,3,BELMEAD,4040,1852,439,1,277,Ward 1,117,2011
4,205,1713,4,BELMEAD,4040,1852,439,2,277,Ward 1,117,2011
4,205,1713,5,BELMEAD,4040,1852,439,2,277,Ward 1,117,2011
4,205,1713,6,BELMEAD,4040,1852,439,2,277,Ward 1,117,2011
4,205,1713,7,BELMEAD,4040,1852,439,3,277,Ward 1,117,2011
4,205,1713,8,BELMEAD,4040,1852,439,3,277,Ward 1,117,2011
4,205,1713,9,BELMEAD,4040,1852,439,3,277,Ward 1,117,2011
4,205,1713,10,BELMEAD,4040,1852,439,4,277,Ward 1,117,2011
4,205,1713,11,BELMEAD,4040,1852,439,4,277,Ward 1,117,2011
4,205,1713,12,BELMEAD,4040,1852,439,4,277,Ward 1,117,2011
5,80,861,1,BRECKENRIDGE GREENS,4700,678,148,1,99,Ward 1,45,2011
5,80,861,2,BRECKENRIDGE GREENS,4700,678,148,1,99,Ward 1,45,2011
5,80,861,3,BRECKENRIDGE GREENS,4700,678,148,1,99,Ward 1,45,2011
5,80,861,4,BRECKENRIDGE GREENS,4700,678,148,2,99,Ward 1,45,2011
5,80,861,5,BRECKENRIDGE GREENS,4700,678,148,2,99,Ward 1,45,2011
5,80,861,6,BRECKENRIDGE GREENS,4700,678,148,2,99,Ward 1,45,2011
5,80,861,7,BRECKENRIDGE GREENS,4700,678,148,3,99,Ward 1,45,2011
5,80,861,8,BRECKENRIDGE GREENS,4700,678,148,3,99,Ward 1,45,2011
5,80,861,9,BRECKENRIDGE GREENS,4700,678,148,3,99,Ward 1,45,2011
5,80,861,10,BRECKENRIDGE GREENS,4700,678,148,4,99,Ward 1,45,2011
5,80,861,11,BRECKENRIDGE GREENS,4700,678,148,4,99,Ward 1,45,2011
