,Catholic,Month,Neighbourhood Name,Neighbourhood Number,No Response(School),Public,Quarter,Year,﻿Ward
0,0,1,ALBERTA PARK INDUSTRIAL,4010,0,0,1,2011,Ward 1
0,0,2,ALBERTA PARK INDUSTRIAL,4010,0,0,1,2011,Ward 1
0,0,3,ALBERTA PARK INDUSTRIAL,4010,0,0,1,2011,Ward 1
0,0,4,ALBERTA PARK INDUSTRIAL,4010,0,0,2,2011,Ward 1
0,0,5,ALBERTA PARK INDUSTRIAL,4010,0,0,2,2011,Ward 1
0,0,6,ALBERTA PARK INDUSTRIAL,4010,0,0,2,2011,Ward 1
0,0,7,ALBERTA PARK INDUSTRIAL,4010,0,0,3,2011,Ward 1
0,0,8,ALBERTA PARK INDUSTRIAL,4010,0,0,3,2011,Ward 1
0,0,9,ALBERTA PARK INDUSTRIAL,4010,0,0,3,2011,Ward 1
0,0,10,ALBERTA PARK INDUSTRIAL,4010,0,0,4,2011,Ward 1
0,0,11,ALBERTA PARK INDUSTRIAL,4010,0,0,4,2011,Ward 1
0,0,12,ALBERTA PARK INDUSTRIAL,4010,0,0,4,2011,Ward 1
1,1392,1,ALDERGROVE,4020,343,3780,1,2011,Ward 1
1,1392,2,ALDERGROVE,4020,343,3780,1,2011,Ward 1
1,1392,3,ALDERGROVE,4020,343,3780,1,2011,Ward 1
1,1392,4,ALDERGROVE,4020,343,3780,2,2011,Ward 1
1,1392,5,ALDERGROVE,4020,343,3780,2,2011,Ward 1
1,1392,6,ALDERGROVE,4020,343,3780,2,2011,Ward 1
1,1392,7,ALDERGROVE,4020,343,3780,3,2011,Ward 1
1,1392,8,ALDERGROVE,4020,343,3780,3,2011,Ward 1
1,1392,9,ALDERGROVE,4020,343,3780,3,2011,Ward 1
1,1392,10,ALDERGROVE,4020,343,3780,4,2011,Ward 1
1,1392,11,ALDERGROVE,4020,343,3780,4,2011,Ward 1
1,1392,12,ALDERGROVE,4020,343,3780,4,2011,Ward 1
2,0,1,ANTHONY HENDAY,4011,0,0,1,2011,Ward 1
2,0,2,ANTHONY HENDAY,4011,0,0,1,2011,Ward 1
2,0,3,ANTHONY HENDAY,4011,0,0,1,2011,Ward 1
2,0,4,ANTHONY HENDAY,4011,0,0,2,2011,Ward 1
2,0,5,ANTHONY HENDAY,4011,0,0,2,2011,Ward 1
2,0,6,ANTHONY HENDAY,4011,0,0,2,2011,Ward 1
2,0,7,ANTHONY HENDAY,4011,0,0,3,2011,Ward 1
2,0,8,ANTHONY HENDAY,4011,0,0,3,2011,Ward 1
2,0,9,ANTHONY HENDAY,4011,0,0,3,2011,Ward 1
2,0,10,ANTHONY HENDAY,4011,0,0,4,2011,Ward 1
2,0,11,ANTHONY HENDAY,4011,0,0,4,2011,Ward 1
2,0,12,ANTHONY HENDAY,4011,0,0,4,2011,Ward 1
3,0,1,ARMSTRONG INDUSTRIAL,4030,125,0,1,2011,Ward 1
3,0,2,ARMSTRONG INDUSTRIAL,4030,125,0,1,2011,Ward 1
3,0,3,ARMSTRONG INDUSTRIAL,4030,125,0,1,2011,Ward 1
3,0,4,ARMSTRONG INDUSTRIAL,4030,125,0,2,2011,Ward 1
3,0,5,ARMSTRONG INDUSTRIAL,4030,125,0,2,2011,Ward 1
3,0,6,ARMSTRONG INDUSTRIAL,4030,125,0,2,2011,Ward 1
3,0,7,ARMSTRONG INDUSTRIAL,4030,125,0,3,2011,Ward 1
3,0,8,ARMSTRONG INDUSTRIAL,4030,125,0,3,2011,Ward 1
3,0,9,ARMSTRONG INDUSTRIAL,4030,125,0,3,2011,Ward 1
3,0,10,ARMSTRONG INDUSTRIAL,4030,125,0,4,2011,Ward 1
3,0,11,ARMSTRONG INDUSTRIAL,4030,125,0,4,2011,Ward 1
3,0,12,ARMSTRONG INDUSTRIAL,4030,125,0,4,2011,Ward 1
4,1119,1,BELMEAD,4040,426,3058,1,2011,Ward 1
4,1119,2,BELMEAD,4040,426,3058,1,2011,Ward 1
4,1119,3,BELMEAD,4040,426,3058,1,2011,Ward 1
4,1119,4,BELMEAD,4040,426,3058,2,2011,Ward 1
4,1119,5,BELMEAD,4040,426,3058,2,2011,Ward 1
4,1119,6,BELMEAD,4040,426,3058,2,2011,Ward 1
4,1119,7,BELMEAD,4040,426,3058,3,2011,Ward 1
4,1119,8,BELMEAD,4040,426,3058,3,2011,Ward 1
4,1119,9,BELMEAD,4040,426,3058,3,2011,Ward 1
4,1119,10,BELMEAD,4040,426,3058,4,2011,Ward 1
4,1119,11,BELMEAD,4040,426,3058,4,2011,Ward 1
4,1119,12,BELMEAD,4040,426,3058,4,2011,Ward 1
5,502,1,BRECKENRIDGE GREENS,4700,55,1354,1,2011,Ward 1
5,502,2,BRECKENRIDGE GREENS,4700,55,1354,1,2011,Ward 1
5,502,3,BRECKENRIDGE GREENS,4700,55,1354,1,2011,Ward 1
5,502,4,BRECKENRIDGE GREENS,4700,55,1354,2,2011,Ward 1
5,502,5,BRECKENRIDGE GREENS,4700,55,1354,2,2011,Ward 1
5,502,6,BRECKENRIDGE GREENS,4700,55,1354,2,2011,Ward 1
5,502,7,BRECKENRIDGE GREENS,4700,55,1354,3,2011,Ward 1
5,502,8,BRECKENRIDGE GREENS,4700,55,1354,3,2011,Ward 1
5,502,9,BRECKENRIDGE GREENS,4700,55,1354,3,2011,Ward 1
5,502,10,BRECKENRIDGE GREENS,4700,55,1354,4,2011,Ward 1
5,502,11,BRECKENRIDGE GREENS,4700,55,1354,4,2011,Ward 1
5,502,12,BRECKENRIDGE GREENS,4700,55,1354,4,2011,Ward 1
6,871,1,BRITANNIA YOUNGSTOWN,4060,828,3060,1,2011,Ward 1
6,871,2,BRITANNIA YOUNGSTOWN,4060,828,3060,1,2011,Ward 1
6,871,3,BRITANNIA YOUNGSTOWN,4060,828,3060,1,2011,Ward 1
6,871,4,BRITANNIA YOUNGSTOWN,4060,828,3060,2,2011,Ward 1
6,871,5,BRITANNIA YOUNGSTOWN,4060,828,3060,2,2011,Ward 1
6,871,6,BRITANNIA YOUNGSTOWN,4060,828,3060,2,2011,Ward 1
6,871,7,BRITANNIA YOUNGSTOWN,4060,828,3060,3,2011,Ward 1
6,871,8,BRITANNIA YOUNGSTOWN,4060,828,3060,3,2011,Ward 1
6,871,9,BRITANNIA YOUNGSTOWN,4060,828,3060,3,2011,Ward 1
