neighbourhood_area,neighbourhood,neighbourhood_id,adjacent,adjacent_id
0.409629081,Abbottsfield,2010,Beacon Heights,2040
0.409629081,Abbottsfield,2010,Bergman,2090
0.409629081,Abbottsfield,2010,Beverly Heights,2100
0.409629081,Abbottsfield,2010,Canon Ridge,2120
0.409629081,Abbottsfield,2010,Homesteader,2350
0.409629081,Abbottsfield,2010,River Valley Rundle,2650
0.409629081,Abbottsfield,2010,Rundle Heights,2660
0.843312283,Albany,3460,Dunluce,3180
1.680470553,Alberta Avenue,1010,Eastwood,1100
1.680470553,Alberta Avenue,1010,McCauley,1140
1.680470553,Alberta Avenue,1010,Parkdale,1160
1.680470553,Alberta Avenue,1010,Spruce Avenue,1230
1.680470553,Alberta Avenue,1010,Westwood,1250
0.664647754,Alberta Park Industrial,4010,Carleton Square Industrial,4100
0.664647754,Alberta Park Industrial,4010,Garside Industrial,4170
0.664647754,Alberta Park Industrial,4010,Hawin Park Estate Industrial,4190
0.664647754,Alberta Park Industrial,4010,High Park Industrial,4210
0.664647754,Alberta Park Industrial,4010,Mitchell Industrial,4330
0.664647754,Alberta Park Industrial,4010,Norwester Industrial,4350
0.664647754,Alberta Park Industrial,4010,Sheffield Industrial,4490
0.664647754,Alberta Park Industrial,4010,West Sheffield Industrial,4600
1.490596723,Aldergrove,4020,Anthony Henday South West,4012
1.490596723,Aldergrove,4020,Belmead,4040
1.490596723,Aldergrove,4020,Callingwood North,4070
1.490596723,Aldergrove,4020,Lymburn,4270
1.490596723,Aldergrove,4020,Summerlea,4520
1.490596723,Aldergrove,4020,Thorncliff,4560
1.658805971,Allard,5458,Cavanagh,5467
1.658805971,Allard,5458,Desrochers Area,5463
1.658805971,Allard,5458,Heritage Valley Town Centre Area,5464
0.8835313,Allendale,5010,Calgary Trail North,5110
0.8835313,Allendale,5010,Parkallen,5310
0.8835313,Allendale,5010,Pleasantview,5320
0.8835313,Allendale,5010,Queen Alexandra,5330
0.8835313,Allendale,5010,Strathcona Junction,5151
3.144004175,Ambleside,5505,Windermere,5570
4.706088874,Anthony Henday,4011,Anthony Henday Big Lake,4018
4.706088874,Anthony Henday,4011,Anthony Henday South West,4012
4.706088874,Anthony Henday,4011,Belmead,4040
4.706088874,Anthony Henday,4011,Glastonbury,4720
4.706088874,Anthony Henday,4011,Lymburn,4270
4.706088874,Anthony Henday,4011,Place LaRue,4400
3.217723658,Anthony Henday Big Lake,4018,Anthony Henday,4011
3.217723658,Anthony Henday Big Lake,4018,Mistatim Industrial,4320
3.217723658,Anthony Henday Big Lake,4018,Rural West Big Lake,4470
3.217723658,Anthony Henday Big Lake,4018,Starling,4474
3.217723658,Anthony Henday Big Lake,4018,White Industrial,4630
3.217723658,Anthony Henday Big Lake,4018,Winterburn Industrial Area East,4650
